,Islamic Month,Date,City,State,Country,Obs Time,Cloud Level,Atmosphere,Visibility,V Eye,V Binocular,V Telescope,V CCD
0,hej43,Wed 29 June 2022 ,القاهرة,القاهرة,Egypt ,After sunset,partly cloudy,hazy,Not Seen,not seen,not sought,not sought,not sought
1,hej43,Wed 29 June 2022 ,Lembang,Jawa Barat,Indonesia ,Before sunset,partly cloudy,very hazy,Photographed,not sought,not sought,not sought,seen
2,hej43,Wed 29 June 2022 ,Surakarta,Central Java,Indonesia ,After sunset,clear,clear,Not Seen,not seen,not seen,not seen,not seen
3,hej43,Wed 29 June 2022 ,Shahreza,Isfahan,Iran ,After sunset,partly cloudy,hazy,Not Seen,not sought,not seen,not sought,not sought
4,hej43,Wed 29 June 2022 ,الموصل,نينوى,Iraq ,After sunset,clear,clear,Not Seen,not seen,not sought,not seen,not sought
5,hej43,Wed 29 June 2022 ,بغداد الجديدة ,بغداد ,Iraq ,After sunset,clear,clear,Not Seen,not sought,not sought,not seen,not sought
6,hej43,Wed 29 June 2022 ,بعلبك,البقاع,Lebanon ,After sunset,partly cloudy,hazy,Not Seen,not seen,not seen,not seen,not seen
7,hej43,Wed 29 June 2022 ,طنجة,طنجة,Morocco ,After sunset,clear,superb,Not Seen,not seen,not sought,not sought,not seen
8,hej43,Wed 29 June 2022 ,بنسليمان ,بنسليمان,Morocco ,After sunset,partly cloudy,clear,Not Seen,not seen,not sought,not sought,not sought
9,hej43,Wed 29 June 2022 ,Muscat,Seeb,Oman ,After sunset,partly cloudy,hazy,Not Seen,not seen,not seen,not seen,not sought
10,hej43,Wed 29 June 2022 ,ديربلوط,سلفيت,Palestine ,After sunset,clear,clear,Seen by others,not seen,not sought,not sought,not sought
11,hej43,Wed 29 June 2022 ,القدس,القدس,Palestine ,After sunset,clear,clear,Seen,not seen,not sought,seen,not sought
12,hej43,Wed 29 June 2022 ,الظهران,الشرقيه ,Saudi Arabia ,After sunset,clear,hazy,Not Seen,not seen,not seen,not sought,not sought
13,hej43,Wed 29 June 2022 ,أملج,أملج,Saudi Arabia ,After sunset,partly cloudy,clear,Not Seen,not sought,not sought,not sought,not seen
14,hej43,Wed 29 June 2022 ,المهدية,المهدية,Tunisia ,After sunset,totally cloudy,very hazy,Not Seen,not sought,not sought,not sought,not sought
