Index,Islamic Month,Date,City,State,Country,Obs Time,Cloud Level,Atmosphere,Visibility,V Eye,V Binocular,V Telescope,V CCD
0,hej41,Mon 20 July 2020 ,كوينين,الوادي,Algeria ,After sunset,clear,hazy,Not Seen,not sought,not seen,not sought,not sought
1,hej41,Tue 21 July 2020 ,ڨمار,وادي سوف ,Algeria ,After sunset,partly cloudy,clear,Seen,seen,not sought,not sought,not sought
2,hej41,Tue 21 July 2020 ,باتنة,باتنة,Algeria ,After sunset,totally cloudy,hazy,Not Seen,not seen,not seen,not sought,not sought
3,hej41,Tue 21 July 2020 ,كوينين,الوادي,Algeria ,After sunset,clear,hazy,Seen,seen,seen,not sought,not sought
4,hej41,Tue 21 July 2020 ,معسكر,معسكر ,Algeria ,After sunset,partly cloudy,very hazy,Not Seen,not seen,not sought,not sought,not sought
5,hej41,Tue 21 July 2020 ,الكويف,تبسة,Algeria ,After sunset,clear,clear,Seen,seen,not sought,not sought,not sought
6,hej41,Tue 21 July 2020 ,قمار,الوادي,Algeria ,After sunset,clear,clear,Seen,seen,not sought,not sought,not sought
7,hej41,Tue 21 July 2020 ,Sydney,NSW,Australia ,After sunset,partly cloudy,clear,Not Seen,not seen,not sought,not sought,not sought
8,hej41,Tue 21 July 2020 ,عيسى,الجنوبية,Bahrain ,After sunset,partly cloudy,hazy,Photographed,not sought,not sought,not seen,seen
9,hej41,Tue 21 July 2020 ,عيسى,الجنوبية,Bahrain ,Before sunset,partly cloudy,hazy,Photographed,not sought,not sought,not seen,seen
10,hej41,Tue 21 July 2020 ,Dhaka,Dhaka,Bangladesh ,After sunset,totally cloudy,hazy,Not Seen,not seen,not sought,not sought,not sought
11,hej41,Tue 21 July 2020 ,Sarajevo,Bosna anHercegovina,Bosnia and Herzegovina ,After sunset,clear,clear,Seen,not seen,seen,not sought,not sought
12,hej41,Tue 21 July 2020 ,Calgary,AB,Canada ,After sunset,partly cloudy,clear,Seen,seen,seen,not sought,not sought
13,hej41,Tue 21 July 2020 ,الدرب الأحمر,القاهرة,Egypt ,After sunset,clear,clear,Not Seen,not seen,not sought,not sought,not sought
14,hej41,Tue 21 July 2020 ,Munich,Bavaria,Germany ,Before sunset,clear,clear,Photographed,not sought,not sought,not sought,seen
15,hej41,Tue 21 July 2020 ,Medan,North Sumatera,Indonesia ,After sunset,partly cloudy,very hazy,Not Seen,not seen,not seen,not seen,not seen
16,hej41,Tue 21 July 2020 ,Surakarta,Central Java,Indonesia ,After sunset,partly cloudy,hazy,Seen by others,not seen,not seen,not seen,not seen
17,hej41,Tue 21 July 2020 ,Ponorogo,Jawa Timur,Indonesia ,After sunset,partly cloudy,clear,Photographed,not seen,not sought,not sought,seen
18,hej41,Tue 21 July 2020 ,Shahreza,Isfahan,Iran ,After sunset,clear,hazy,Seen,seen,seen,not sought,not sought
19,hej41,Tue 21 July 2020 ,الصدر,بغداد,Iraq ,After sunset,clear,very hazy,Not Seen,not seen,not seen,not sought,not sought
20,hej41,Tue 21 July 2020 ,Telok Kemang Observatory,Negeri Sembilan,Malaysia ,Before sunset,partly cloudy,clear,Photographed,not seen,not seen,not sought,seen
21,hej41,Tue 21 July 2020 ,وزان,جهة طنجة تطوان الحسيمة ,Morocco ,After sunset,clear,clear,Seen,seen,seen,not sought,not sought
22,hej41,Tue 21 July 2020 ,الناظور,الشرق,Morocco ,After sunset,partly cloudy,clear,Seen by others,seen,not sought,not sought,not sought
