,Islamic Month,Date,City,State,Country,Obs Time,Cloud Level,Atmosphere,Visibility,V Eye,V Binocular,V Telescope,V CCD
0,sha44,Mon 20 February 2023 ,قمار,الوادي,Algeria ,After sunset,partly cloudy,hazy,Not Seen,not seen,not sought,not sought,not sought
1,sha44,Mon 20 February 2023 ,الجيزة ,الجيزة ,Egypt ,After sunset,partly cloudy,hazy,Not Seen,not seen,not sought,not sought,not sought
2,sha44,Mon 20 February 2023 ,Surakarta,Central Java,Indonesia ,After sunset,partly cloudy,hazy,Not Seen,not seen,not seen,not seen,not sought
3,sha44,Mon 20 February 2023 ,Shahreza,Isfahan,Iran ,After sunset,clear,clear,Not Seen,not sought,not seen,not sought,not sought
4,sha44,Mon 20 February 2023 ,انواكشوط ,تفرغ زينة ,Mauritania ,After sunset,partly cloudy,hazy,Not Seen,not seen,not sought,not sought,not sought
5,sha44,Mon 20 February 2023 ,طنجة,طنجة,Morocco ,After sunset,totally cloudy,very hazy,Not Seen,not seen,not sought,not sought,not seen
6,sha44,Mon 20 February 2023 ,"Al-Khoudh, Seeb",Muscat,Oman ,After sunset,clear,clear,Not Seen,not sought,not seen,not seen,not seen
7,sha44,Mon 20 February 2023 , دير بلوط,سلفيت,Palestine ,After sunset,partly cloudy,very hazy,Not Seen,not seen,not sought,not sought,not sought
8,sha44,Mon 20 February 2023 ,المهدية,المهدية,Tunisia ,After sunset,clear,superb,Not Seen,not sought,not sought,not sought,not sought
9,sha44,Mon 20 February 2023 ,نزوى ,دبي ,United Arab Emirates ,After sunset,partly cloudy,clear,Not Seen,not seen,not sought,not seen,not seen
10,sha44,Mon 20 February 2023 ,الختم,أبوظبي,United Arab Emirates ,Before sunset,clear,clear,Not Seen,not sought,not sought,not sought,not seen
11,sha44,Mon 20 February 2023 ,York,North Yorkshire,United Kingdom ,After sunset,partly cloudy,hazy,Not Seen,not seen,not sought,not sought,not sought
12,sha44,Mon 20 February 2023 ,Blacksburg,Virginia,United States ,After sunset,totally cloudy,hazy,Not Seen,not seen,not sought,not sought,not sought
13,sha44,Tue 21 February 2023 ,عيسى,الجنوبية,Bahrain ,Before sunset,partly cloudy,clear,Seen,not sought,not sought,seen,seen
14,sha44,Tue 21 February 2023 ,طنطا,الغربية,Egypt ,After sunset,partly cloudy,clear,Seen,seen,not sought,not sought,seen
15,sha44,Tue 21 February 2023 ,القاهرة,القاهرة,Egypt ,After sunset,partly cloudy,superb,Seen,seen,not sought,not sought,not sought
16,sha44,Tue 21 February 2023 ,Shahreza,Isfahan,Iran ,After sunset,partly cloudy,hazy,Seen,seen,seen,not sought,not sought
17,sha44,Tue 21 February 2023 ,ديربلوط,سلفيت,Palestine ,After sunset,clear,clear,Seen,seen,not sought,not sought,not sought
18,sha44,Tue 21 February 2023 ,المدينة المنورة ,المدينة المنورة ,Saudi Arabia ,After sunset,partly cloudy,clear,Seen,seen,not sought,not sought,not sought
19,sha44,Tue 21 February 2023 ,دبي,دبي,United Arab Emirates ,After sunset,clear,clear,Seen,seen,seen,seen,seen
20,sha44,Tue 21 February 2023 ,York,North Yorkshire,United Kingdom ,After sunset,partly cloudy,hazy,Seen,seen,not sought,not sought,not sought
21,sha44,Tue 21 February 2023 ,Blacksburg,Virginia,United States ,Before sunset,partly cloudy,hazy,Seen,seen,seen,not sought,not sought
22,sha44,Tue 21 February 2023 ,Blacksburg,Virginia,United States ,After sunset,partly cloudy,hazy,Seen,seen,seen,not sought,not sought
23,sha44,Sat 18 February 2023 ,Surakarta,Central Java,Indonesia ,Before sunrise,totally cloudy,hazy,Not Seen,not seen,not sought,not sought,not sought
24,sha44,Sat 18 February 2023 ,ديربلوط,سلفيت,Palestine ,Before sunrise,clear,clear,Seen,seen,not sought,not sought,not sought
25,sha44,Sat 18 February 2023 ,المدينة المنورة ,المدينة المنورة ,Saudi Arabia ,Before sunrise,partly cloudy,hazy,Seen,seen,not sought,not sought,not sought
26,sha44,Sat 18 February 2023 ,دبي,دبي,United Arab Emirates ,Before sunrise,partly cloudy,clear,Seen,seen,seen,seen,seen
27,sha44,Sat 18 February 2023 ,Blacksburg,Virginia,United States ,Before sunrise,clear,hazy,Seen,seen,seen,not sought,not sought
28,sha44,Sun 19 February 2023 ,ديربلوط,سلفيت,Palestine ,Before sunrise,clear,clear,Not Seen,not seen,not sought,not sought,not sought
29,sha44,Sun 19 February 2023 ,دبي,دبي,United Arab Emirates ,Before sunrise,clear,clear,Photographed,not sought,not seen,not seen,seen
30,sha44,Mon 20 February 2023 ,ديربلوط,سلفيت,United Arab Emirates ,Before sunrise,clear,clear,Not Seen,not seen,not sought,not sought,not sought
