,Islamic Month,Date,City,State,Country,Obs Time,Cloud Level,Atmosphere,Visibility,V Eye,V Binocular,V Telescope,V CCD
0,ram42,Mon 12 April 2021 ,قمار,الوادي,Algeria ,After sunset,totally cloudy,hazy,Not Seen,not seen,not sought,not sought,not sought
1,ram42,Mon 12 April 2021 ,باتنة,باتنة,Algeria ,After sunset,partly cloudy,hazy,Not Seen,not seen,not seen,not sought,not sought
2,ram42,Mon 12 April 2021 ,قمار,وادي سوف ,Algeria ,After sunset,partly cloudy,clear,Not Seen,not seen,not sought,not sought,not sought
3,ram42,Mon 12 April 2021 ,معسكر ,معسكر ,Algeria ,After sunset,partly cloudy,hazy,Not Seen,not seen,not sought,not sought,not sought
4,ram42,Mon 12 April 2021 ,ڨمار,وادي سوف,Algeria ,After sunset,partly cloudy,hazy,Not Seen,not seen,not sought,not seen,not sought
5,ram42,Mon 12 April 2021 ,Sydney,NSW,Australia ,After sunset,clear,clear,Not Seen,not seen,not sought,not sought,not sought
6,ram42,Mon 12 April 2021 ,القاهرة,القاهرة,Egypt ,After sunset,clear,clear,Not Seen,not seen,not sought,not sought,not sought
7,ram42,Mon 12 April 2021 ,Accra,Greater Accra region,Ghana ,After sunset,clear,clear,Not Seen,not sought,not sought,not sought,not sought
8,ram42,Mon 12 April 2021 ,Barus,Sumatera Utara,Indonesia ,After sunset,partly cloudy,hazy,Not Seen,not seen,not sought,not seen,not sought
9,ram42,Mon 12 April 2021 ,Medan,North Sumatera,Indonesia ,After sunset,partly cloudy,hazy,Not Seen,not seen,not sought,not seen,not seen
10,ram42,Mon 12 April 2021 ,Surakarta,Central Java,Indonesia ,After sunset,partly cloudy,hazy,Not Seen,not seen,not seen,not seen,not sought
11,ram42,Mon 12 April 2021 ,قم,قم,Iran ,After sunset,partly cloudy,hazy,Not Seen,not seen,not seen,not sought,not sought
12,ram42,Mon 12 April 2021 ,Shahreza,Isfahan,Iran ,After sunset,partly cloudy,hazy,Not Seen,not sought,not seen,not sought,not sought
13,ram42,Mon 12 April 2021 ,الصدر,بغداد,Iraq ,After sunset,clear,very hazy,Not Seen,not seen,not seen,not sought,not sought
14,ram42,Mon 12 April 2021 ,الزرقاء,الزرقاء,Jordan ,After sunset,partly cloudy,clear,Not Seen,not seen,not sought,not sought,not sought
15,ram42,Mon 12 April 2021 ,إربد,إربد,Jordan ,After sunset,clear,clear,Not Seen,not seen,not sought,not seen,not sought
16,ram42,Mon 12 April 2021 ,Tanjung Bidara,Malacca,Malaysia ,After sunset,partly cloudy,hazy,Not Seen,not seen,not sought,not seen,not sought
17,ram42,Mon 12 April 2021 ,"telok kemang observatory, port dickson",Negeri Sembilan,Malaysia ,After sunset,partly cloudy,clear,Not Seen,not seen,not sought,not seen,not seen
18,ram42,Mon 12 April 2021 ,بنسليمان ,بنسليمان,Morocco ,After sunset,partly cloudy,clear,Not Seen,not seen,not sought,not sought,not sought
19,ram42,Mon 12 April 2021 ,طنجة,طنجة,Morocco ,After sunset,clear,clear,Not Seen,not seen,not seen,not sought,not sought
20,ram42,Mon 12 April 2021 ,وزان,جهة طنجة تطوان الحسيمة,Morocco ,After sunset,clear,hazy,Not Seen,not sought,not sought,not sought,not sought
21,ram42,Mon 12 April 2021 ,تاوريرت,تاوريرت,Morocco ,After sunset,totally cloudy,hazy,Not Seen,not sought,not sought,not sought,not sought
22,ram42,Mon 12 April 2021 ,الرباط,الرباط,Morocco ,After sunset,totally cloudy,hazy,Not Seen,not seen,not sought,not sought,not sought
23,ram42,Mon 12 April 2021 ,Kathmandu,Bagmati,Nepal ,After sunset,partly cloudy,very hazy,Not Seen,not seen,not sought,not sought,not sought
24,ram42,Mon 12 April 2021 ,Ilorin,Kwara,Nigeria ,After sunset,clear,clear,Not Seen,not seen,not sought,not sought,not sought
25,ram42,Mon 12 April 2021 ,جزيرة مصيرة,جنوب الشرقية ,Oman ,After sunset,clear,clear,Not Seen,not sought,not sought,not sought,not sought
26,ram42,Mon 12 April 2021 ,Yibal Kuff,AlZahirah,Oman ,After sunset,partly cloudy,clear,Not Seen,not seen,not sought,not sought,not sought
27,ram42,Mon 12 April 2021 ,Al-Khoudh,Muscat,Oman ,After sunset,partly cloudy,clear,Not Seen,not seen,not sought,not seen,not sought
28,ram42,Mon 12 April 2021 ,العفولة,الشمال,Palestine ,After sunset,partly cloudy,clear,Not Seen,not seen,not seen,not sought,not sought
29,ram42,Mon 12 April 2021 ,الخليل,الخليل,Palestine ,After sunset,partly cloudy,hazy,Not Seen,not sought,not sought,not seen,not sought
30,ram42,Mon 12 April 2021 ,أملج ,أملج ,Saudi Arabia ,After sunset,clear,clear,Photographed,not seen,not sought,not seen,seen
31,ram42,Mon 12 April 2021 ,السويرقيه,مهد الذهب,Saudi Arabia ,Before sunset,clear,hazy,Not Seen,not sought,not sought,not sought,not seen
32,ram42,Mon 12 April 2021 ,Colombo,Western Province,Sri Lanka ,After sunset,totally cloudy,hazy,Not Seen,not seen,not sought,not sought,not sought
33,ram42,Mon 12 April 2021 ,المهدية,المهدية,Tunisia ,After sunset,totally cloudy,hazy,Not Seen,not seen,not sought,not sought,not sought
34,ram42,Mon 12 April 2021 ,حمام الأنف,بن عروس,Tunisia ,After sunset,totally cloudy,very hazy,Not Seen,not seen,not sought,not sought,not sought
35,ram42,Mon 12 April 2021 ,Sarıyer,İSTANBUL,Turkey ,After sunset,totally cloudy,hazy,Not Seen,not seen,not sought,not sought,not sought
36,ram42,Mon 12 April 2021 ,Abu Dhabi,Abu Dhabi,United Arab Emirates ,After sunset,clear,hazy,Not Seen,not sought,not sought,not sought,not seen
37,ram42,Mon 12 April 2021 ,Abu Dhabi,Abu Dhabi,United Arab Emirates ,Before sunset,clear,hazy,Not Seen,not sought,not sought,not sought,not seen
38,ram42,Mon 12 April 2021 ,York,North Yorkshire,United Kingdom ,After sunset,clear,clear,Not Seen,not seen,not seen,not sought,not sought
39,ram42,Mon 12 April 2021 ,‏لورنس Lawrence,‏ماساتشوستس Massachusetts,United States ,After sunset,partly cloudy,very hazy,Not Seen,not seen,not seen,not seen,not sought
40,ram42,Mon 12 April 2021 ,Blacksburg,Virginia,United States ,After sunset,partly cloudy,hazy,Not Seen,not sought,not seen,not sought,not sought
41,ram42,Mon 12 April 2021 ,Tucson,Arizona,United States ,After sunset,clear,superb,Seen,seen,seen,not sought,not sought
42,ram42,Tue 13 April 2021 ,باتنة,باتنة,Algeria ,After sunset,partly cloudy,clear,Seen,seen,seen,not sought,not sought
43,ram42,Tue 13 April 2021 ,الكويف,تبسة,Algeria ,After sunset,clear,clear,Seen,seen,not sought,not sought,not sought
44,ram42,Tue 13 April 2021 ,ڨمار,وادي سوف ,Algeria ,After sunset,partly cloudy,clear,Seen,seen,not sought,not sought,not sought
45,ram42,Tue 13 April 2021 ,Dhaka,Dhaka,Bangladesh ,After sunset,clear,superb,Seen,seen,not sought,not sought,not sought
46,ram42,Tue 13 April 2021 ,القاهرة,القاهرة,Egypt ,After sunset,partly cloudy,hazy,Seen,seen,not sought,not sought,not sought
