Index,Date,Latitude,Longitude,Moon Age,Sunset,Moonset,Lag,Moon Alt,Moon Az,Sun Alt,Sun Az,Moon-Earth Dist,Sun-Moon Dist,ARCL,ARCV,DAZ,Illumination,Parallax,W,W',q,q',Cloud Level,Seen,Method,Methods,Source
53,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
54,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
55,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
56,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
57,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
58,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
59,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
60,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
61,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
62,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
63,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
64,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
65,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
66,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
67,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
68,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
69,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
70,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
71,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
72,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
73,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
74,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
75,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
76,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
77,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
78,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
79,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
80,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
81,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
82,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
83,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
84,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
85,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
86,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
87,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
88,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
89,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
90,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
91,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
92,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
93,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
94,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
95,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
96,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
97,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
98,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
99,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
100,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
101,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
102,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
103,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
104,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
105,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
106,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
107,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
108,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
109,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
110,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
111,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
112,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
113,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
114,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
115,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
116,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
117,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
118,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
119,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
120,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
121,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
122,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
123,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
124,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
125,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
126,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
127,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
128,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
129,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
130,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
131,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
132,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
133,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
134,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
135,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
136,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
137,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
138,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
139,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
140,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
