Index,Date,Latitude,Longitude,Moon Age,Sunset,Moonset,Lag,Moon Alt,Moon Az,Sun Alt,Sun Az,Moon-Earth Dist,Sun-Moon Dist,ARCL,ARCV,DAZ,Parallax,W,W',q,q',Cloud Level,Seen
32,2457575.36216,53.69076,-1.62907,1.862,2457575.35405,2457575.3723,26.28738,1.32008,294.84735,-1.29044,312.98283,0.00253,1.01435,18.32085,2.61052,18.13548,58.01428,0.80119,0.8015,-0.45784,-0.45768,0.5,Not_seen
33,2457575.35106,51.50853,-0.12574,1.851,2457575.34167,2457575.3628,30.42174,1.75529,293.10907,-1.62308,310.93693,0.00253,1.01435,18.14258,3.37837,17.82786,58.01059,0.78575,0.78616,-0.38932,-0.38911,0.5,Not_seen
34,2457575.353,51.87967,-0.41748,1.853,2457575.34382,2457575.36448,29.75216,1.68194,293.38452,-1.56859,311.26729,0.00253,1.01435,18.17341,3.25054,17.88276,58.0114,0.78841,0.7888,-0.40068,-0.40047,0.5,Not_seen
35,2457575.35121,51.39148,-0.29825,1.851,2457575.34174,2457575.36303,30.65564,1.78003,293.01889,-1.64239,310.83784,0.00253,1.01435,18.14203,3.42242,17.81896,58.00971,0.78569,0.7861,-0.38495,-0.38473,0,Not_seen
36,2457575.36153,53.95763,-1.08271,1.862,2457575.35362,2457575.37142,25.63852,1.25832,295.10014,-1.2458,313.24819,0.00253,1.01435,18.31856,2.50412,18.14805,58.01615,0.80101,0.80131,-0.46858,-0.46842,0.5,Not_seen
37,2457576.36446,51.62907,-0.74934,2.864,2457576.34345,2457576.39072,68.05911,4.87118,284.84431,-3.53583,314.22418,0.00256,1.01454,30.5316,8.40701,29.37987,57.06388,2.15561,2.15865,0.78178,0.78317,0.5,Not_seen
38,2457576.37229,53.95763,-1.08271,2.872,2457576.35317,2457576.39619,61.95271,4.08962,286.48336,-2.93921,316.3567,0.00256,1.01454,30.66926,7.02883,29.87334,57.11889,2.17672,2.1793,0.65364,0.65482,1,Not_seen
39,2457604.32901,52.48142,-1.89983,1.829,2457604.32566,2457604.33321,10.86942,0.28486,288.2691,-0.64285,300.04901,0.00258,1.01209,11.8162,0.92771,11.77991,56.76705,0.32774,0.32776,-0.89123,-0.89121,1,Not_seen
40,2457604.33051,51.48,-3.18,1.83,2457604.32673,2457604.33523,12.24206,0.41691,287.69263,-0.74352,299.4513,0.00258,1.01209,11.81555,1.16043,11.75868,56.76532,0.32769,0.32773,-0.86798,-0.86796,1,Not_seen
41,2457604.33092,53.69076,-1.62907,1.831,2457604.32807,2457604.33448,9.23545,0.135,288.98499,-0.52573,300.82675,0.00258,1.01209,11.86005,0.66073,11.84176,56.76641,0.33016,0.33017,-0.9165,-0.91649,1,Not_seen
42,2457604.32957,52.5,-2.08333,1.83,2457604.32621,2457604.33376,10.87251,0.28381,288.2751,-0.64214,300.06192,0.00258,1.01209,11.82295,0.92595,11.78682,56.76671,0.32811,0.32813,-0.89119,-0.89117,1,Not_seen
43,2457604.32199,51.39822,-0.19837,1.822,2457604.31827,2457604.32664,12.05933,0.40331,287.72465,-0.73575,299.38499,0.00258,1.01209,11.7156,1.13907,11.66034,56.77072,0.32222,0.32226,-0.87334,-0.87331,0.5,Not_seen
