Index,Date,Latitude,Longitude,Moon Age,Sunset,Moonset,Lag,Moon Alt,Moon Az,Sun Alt,Sun Az,Moon-Earth Dist,Sun-Moon Dist,ARCL,ARCV,DAZ,Illumination,Parallax,W,W',q,q',Cloud Level,Seen,Method,Methods,Visibility,Source
288,2455773.61689,34.07563,-117.25205,0.339,2455773.61925,2455773.61395,-7.63333,-1.38831,286.55755,-0.18454,292.49831,0.00248,1.01275,6.06083,1.20377,5.94076,0.00279,59.19821,0.09015,0.09012,-1.00692,-1.00694,0,Seen,Seen_binoculars,Seen_binoculars;Seen_telescope;Seen_ccd,0.75,ICOP
289,2455773.57731,39.78373,-100.44588,0.3,2455773.58141,2455773.57218,-13.3,-1.88454,288.61669,0.19941,294.04211,0.00248,1.01275,5.81106,2.08396,5.42542,0.00257,59.16274,0.08283,0.08279,-0.92344,-0.92347,0,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,1,ICOP
290,2455773.95943,40.26011,-74.27376,0.682,2455773.50957,2455774.52175,1457.53333,0.38802,75.70175,11.3385,75.55116,0.00247,1.01274,10.95149,10.95047,-0.15059,0.00911,59.3832,0.29465,0.29468,0.09154,0.09156,0.75,Not_seen,Not_seen,Not_seen,0,ICOP
291,2455775.04705,23.81065,90.41265,1.769,2455775.02889,2455775.06976,58.85,6.68299,273.21574,-6.40161,292.93388,0.00245,1.0128,23.62868,13.08461,19.71813,0.04192,59.37249,1.35616,1.35889,0.87298,0.87432,0,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,1,ICOP
292,2455775.30334,49.59827,8.73544,2.026,2455775.29637,2455775.31206,22.6,1.42591,274.21928,-2.23638,301.44793,0.00245,1.01283,27.46853,3.66229,27.22864,0.05637,59.81948,1.83735,1.83814,0.16026,0.16063,0,Seen,Seen_binoculars,Seen_binoculars;Seen_telescope;Seen_ccd,0.75,ICOP
293,2455775.1553,31.75205,54.21742,1.878,2455775.13894,2455775.17575,53.01667,5.52621,272.34367,-5.42969,295.06341,0.00245,1.01281,25.19206,10.9559,22.71974,0.04756,59.52737,1.54258,1.54515,0.7504,0.75163,0.75,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,1,ICOP
294,2455775.16329,32.67079,51.665,1.886,2455775.14725,2455775.18334,51.98333,5.3495,272.32108,-5.28827,295.32369,0.00245,1.01281,25.31318,10.63778,23.00261,0.04801,59.54671,1.55771,1.56023,0.72583,0.72703,0,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,1,ICOP
295,2455774.52815,37.22966,-80.41368,1.251,2455774.52103,2455774.53705,23.06667,1.88757,278.91814,-2.69131,295.2944,0.00246,1.01275,16.99976,4.57888,16.37626,0.02185,59.58657,0.70934,0.70975,-0.31053,-0.31031,0.75,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,1,ICOP
296,2455803.2594,32.48586,3.6771,0.632,2455803.25984,2455803.25885,-1.41667,-0.72772,271.41891,-0.70413,281.48343,0.00242,1.00756,10.06376,0.02359,10.06452,0.00769,60.62728,0.25415,0.25409,-1.02522,-1.02526,0.75,Not_seen,Not_seen,Not_seen,0,ICOP
297,2455803.2594,32.48586,3.6771,0.632,2455803.25984,2455803.25885,-1.41667,-0.72772,271.41891,-0.70413,281.48343,0.00242,1.00756,10.06376,0.02359,10.06452,0.00769,60.62728,0.25415,0.25409,-1.02522,-1.02526,0.75,Not_seen,Not_seen,Not_seen,0,ICOP
