,Index,Date,Latitude,Longitude,Moon Age,Sunset,Moonset,Lag,Moon Alt,Moon Az,Sun Alt,Sun Az,Moon-Earth Dist,Sun-Moon Dist,ARCL,ARCV,DAZ,Illumination,Parallax,W,W',q,q',Cloud Level,Seen,Method,Methods,Visibility,Source
88,88,2002-11-05 13:37:44.831999,29.9,56.2,1.568,2452584.05661,2452584.08196,36.49702,3.40789,247.36117,-3.3584,253.76722,0.00241,0.98912,9.31517,6.76629,6.40604,0.00659,60.7365,0.21822,0.21844,-0.37249,-0.37235,0,Not_seen,Not_seen,Not_seen,0,SCHAEFER/ODEH
89,89,2003-01-03 13:50:40.703993,32.0,51.9,1.577,2452643.0665,2452643.08981,33.57415,2.66085,237.16414,-2.83319,244.71445,0.00253,0.98083,9.33531,5.49404,7.55032,0.00662,57.92225,0.209,0.20917,-0.50527,-0.50517,0,Not_seen,Not_seen,Not_seen,0,SCHAEFER/ODEH
90,90,2000-03-06 23:27:57.600007,43.3,-79.9,0.978,2451610.46581,2451610.49267,38.68311,3.11884,258.65951,-3.10859,265.71155,0.00257,0.98989,9.40548,6.22743,7.05204,0.00672,56.92973,0.20852,0.2087,-0.43222,-0.43211,0,Not_seen,Not_seen,Not_seen,0,SCHAEFER/ODEH
91,91,2003-01-03 14:12:35.711988,26.6,49.8,1.592,2452643.0809,2452643.10605,36.21782,3.17687,239.14272,-3.26193,246.04386,0.00253,0.98083,9.43577,6.4388,6.90114,0.00676,57.8855,0.21338,0.21358,-0.40815,-0.40803,0,Not_seen,Not_seen,Not_seen,0,SCHAEFER/ODEH
92,92,2004-06-18 15:50:20.543987,-33.9,18.4,1.66,2453175.15271,2453175.16903,23.49229,1.57477,305.90275,-1.913,297.17696,0.00272,1.01347,9.39573,3.48777,-8.72579,0.00671,53.95525,0.19721,0.1973,-0.71301,-0.71296,0,Not_seen,Not_seen,Not_seen,0,SCHAEFER/ODEH
93,93,1987-09-23 23:36:57.600015,37.2,-84.1,0.984,2447062.47797,2447062.49155,19.55945,1.54728,262.13872,-1.73278,271.11277,0.00262,1.00077,9.55354,3.28006,8.97405,0.00693,55.89259,0.2112,0.21129,-0.72534,-0.72528,0,Not_seen,Not_seen,Not_seen,0,SCHAEFER/ODEH
94,94,2004-12-12 16:45:43.487982,32.5,3.7,0.698,2453352.19167,2453352.20686,21.88473,1.448,234.45547,-1.823,243.52131,0.00239,0.98214,9.63669,3.271,9.06585,0.00706,61.22563,0.23538,0.23549,-0.71171,-0.71164,0,Not_seen,Not_seen,Not_seen,0,SCHAEFER/ODEH
95,95,2000-01-07 17:59:56.544014,-32.3,20.8,1.75,2451551.2384,2451551.26441,37.44918,3.37702,248.87733,-3.10832,240.94905,0.00269,0.98072,10.23962,6.48534,-7.92828,0.00796,54.31659,0.2357,0.23592,-0.39009,-0.38995,0,Not_seen,Not_seen,Not_seen,0,SCHAEFER/ODEH
96,96,2004-10-14 23:04:08.543988,25.8,-80.2,0.961,2453293.45136,2453293.47353,31.92203,3.19367,253.92988,-3.15782,262.0292,0.00249,0.99469,10.28947,6.35149,8.09932,0.00804,58.79974,0.25764,0.25788,-0.39035,-0.39021,0,Not_seen,Not_seen,Not_seen,0,SCHAEFER/ODEH
97,97,2000-01-07 18:13:24.384010,-33.9,18.4,1.759,2451551.24779,2451551.27372,37.33807,3.28331,248.54963,-3.02869,240.32734,0.00269,0.98072,10.36237,6.312,-8.22229,0.00816,54.32426,0.2414,0.24162,-0.404,-0.40387,0,Not_seen,Not_seen,Not_seen,0,SCHAEFER/ODEH
