,Index,Date,Latitude,Longitude,Moon Age,Sunset,Moonset,Lag,Moon Alt,Moon Az,Sun Alt,Sun Az,Moon-Earth Dist,Sun-Moon Dist,ARCL,ARCV,DAZ,Illumination,Parallax,W,W',q,q',Cloud Level,Seen,Method,Methods,Visibility,Source
386,386,2456128.17007,21.42,39.83,0.67,2456128.16742,2456128.17339,8.60346,0.47347,285.77054,-0.82415,292.64693,0.00261,1.01362,6.99757,1.29762,6.87638,0.00372,56.13336,0.11392,0.11393,-0.98286,-0.98285,0,Not_seen,Not_seen,Not_seen,0.0,ALREFAY
387,387,2456128.15496,24.6,46.45,0.655,2456128.15302,2456128.15737,6.26602,0.17187,286.27422,-0.5847,293.15131,0.00261,1.01362,6.91849,0.75657,6.87709,0.00364,56.12737,0.11135,0.11135,-1.03855,-1.03854,0,Not_seen,Not_seen,Not_seen,0.0,ALREFAY
388,388,2456128.1739,24.39,39.63,0.674,2456128.17169,2456128.17667,7.16717,0.28019,286.12796,-0.66915,293.1462,0.00261,1.01362,7.08204,0.94934,7.01824,0.00381,56.13654,0.11669,0.1167,-1.01598,-1.01597,0,Not_seen,Not_seen,Not_seen,0.0,ALREFAY
389,389,2456128.164,26.35,43.95,0.664,2456128.16225,2456128.16618,5.65838,0.08992,286.49108,-0.51867,293.49263,0.00261,1.01362,7.02786,0.60859,7.00155,0.00376,56.13213,0.1149,0.1149,-1.05115,-1.05115,0,Not_seen,Not_seen,Not_seen,0.0,ALREFAY
390,390,2456128.15846,25.62,45.62,0.658,2456128.15665,2456128.16072,5.86256,0.11567,286.40819,-0.54028,293.34394,0.00261,1.01362,6.96661,0.65594,6.93575,0.00369,56.12928,0.1129,0.11291,-1.04765,-1.04765,0,Not_seen,Not_seen,Not_seen,0.0,ALREFAY
391,391,2456187.14054,21.42,39.83,0.641,2456187.13816,2456187.14352,7.71849,0.39926,264.6569,-0.79817,272.80432,0.00247,1.00277,8.23474,1.19743,8.14742,0.00516,59.34833,0.16671,0.16673,-0.96055,-0.96054,0,Not_seen,Not_seen,Not_seen,0.0,ALREFAY
392,392,2456187.12177,24.6,46.45,0.622,2456187.12021,2456187.12373,5.07057,0.0542,264.71505,-0.51228,272.79281,0.00247,1.00277,8.0975,0.56648,8.07776,0.00499,59.34068,0.16119,0.16119,-1.02701,-1.027,0,Not_seen,Not_seen,Not_seen,0.0,ALREFAY
393,393,2456187.12872,26.35,43.95,0.629,2456187.12739,2456187.13038,4.31295,-0.04714,264.6165,-0.42948,272.8054,0.00247,1.00277,8.19774,0.38234,8.1889,0.00511,59.34404,0.16521,0.16521,-1.04297,-1.04297,0,Not_seen,Not_seen,Not_seen,0.0,ALREFAY
394,394,2456187.12512,25.25,45.25,0.625,2456187.12363,2456187.12698,4.82991,0.02056,264.67239,-0.48524,272.79918,0.00247,1.00277,8.14242,0.5058,8.12679,0.00504,59.34232,0.16299,0.16299,-1.03198,-1.03198,0,Not_seen,Not_seen,Not_seen,0.0,ALREFAY
395,395,2456187.11221,26.37,49.82,0.612,2456187.1111,2456187.11361,3.62089,-0.13076,264.75046,-0.36047,272.77888,0.00247,1.00277,8.03163,0.22971,8.02843,0.0049,59.33592,0.15857,0.15857,-1.06228,-1.06228,0,Not_seen,Not_seen,Not_seen,0.0,ALREFAY
396,396,2456187.12406,25.62,45.62,0.624,2456187.12265,2456187.12582,4.56835,-0.01398,264.67207,-0.45759,272.79809,0.00247,1.00277,8.13803,0.44361,8.12602,0.00504,59.34181,0.16281,0.16281,-1.03831,-1.03831,0,Not_seen,Not_seen,Not_seen,0.0,ALREFAY
397,397,2456246.09673,24.6,46.45,1.597,2456246.08584,2456246.11035,35.29281,3.36235,245.60405,-3.35927,251.25576,0.00239,0.98688,8.77982,6.72162,5.65171,0.00586,61.24883,0.19554,0.19574,-0.39064,-0.39052,0,Not_seen,Not_seen,Not_seen,0.0,ALREFAY
398,398,2456246.10165,26.35,43.95,1.602,2456246.09077,2456246.11524,35.23958,3.28895,245.10712,-3.30117,251.04915,0.00239,0.98688,8.87122,6.59012,5.94203,0.00598,61.25311,0.19964,0.19984,-0.40131,-0.40119,0,Not_seen,Not_seen,Not_seen,0.0,ALREFAY
399,399,2456246.10653,27.52,41.7,1.607,2456246.09564,2456246.12015,35.29845,3.24581,244.7487,-3.26875,250.89693,0.00239,0.98688,8.95541,6.51456,6.14823,0.0061,61.25545,0.20344,0.20365,-0.40657,-0.40644,0,Not_seen,Not_seen,Not_seen,0.0,ALREFAY
400,400,2456246.11945,28.4,36.73,1.619,2456246.10838,2456246.1333,35.88752,3.26762,244.41587,-3.29286,250.79735,0.00239,0.98688,9.14979,6.56048,6.38148,0.00636,61.25332,0.21234,0.21256,-0.39661,-0.39648,0,Not_seen,Not_seen,Not_seen,0.0,ALREFAY
401,401,2456246.09933,25.25,45.25,1.599,2456246.08843,2456246.11296,35.32405,3.34023,245.41913,-3.34319,251.18491,0.00239,0.98688,8.82467,6.68343,5.76578,0.00592,61.25007,0.19754,0.19775,-0.39325,-0.39312,0,Not_seen,Not_seen,Not_seen,0.0,ALREFAY
402,402,2456246.09783,25.62,45.62,1.598,2456246.08698,2456246.1114,35.16852,3.3088,245.32789,-3.3165,251.13514,0.00239,0.98688,8.80802,6.6253,5.80725,0.0059,61.2521,0.1968,0.19701,-0.39951,-0.39938,0,Not_seen,Not_seen,Not_seen,0.0,ALREFAY
403,403,2456246.08502,26.37,49.82,1.585,2456246.07444,2456246.09824,34.26592,3.18306,245.19374,-3.20838,251.00492,0.00239,0.98688,8.63628,6.39144,5.81118,0.00567,61.26043,0.18924,0.18943,-0.42747,-0.42735,0,Not_seen,Not_seen,Not_seen,0.0,ALREFAY
404,404,2456275.1144,21.42,39.83,0.614,2456275.1086,2456275.12166,18.79804,1.5739,246.48503,-1.76548,245.71929,0.00239,0.98203,3.42602,3.33938,-0.76574,0.00089,61.31375,0.02986,0.02987,-0.83096,-0.83095,0,Not_seen,Not_seen,Not_seen,0.0,ALREFAY
405,405,2456275.11086,24.39,39.63,0.611,2456275.10492,2456275.1183,19.27083,1.56739,245.78322,-1.76263,245.2462,0.00239,0.98203,3.37303,3.33002,-0.53702,0.00087,61.31473,0.02894,0.02895,-0.83247,-0.83246,0,Not_seen,Not_seen,Not_seen,0.0,ALREFAY
406,406,2456275.09123,24.6,46.45,0.591,2456275.08566,2456275.09821,18.06921,1.43001,245.78604,-1.64853,245.15451,0.00239,0.98203,3.14263,3.07854,-0.63152,0.00075,61.32286,0.02513,0.02514,-0.86002,-0.86001,0,Not_seen,Not_seen,Not_seen,0.0,ALREFAY
407,407,2456275.09579,26.35,43.95,0.596,2456275.09,2456275.10303,18.76958,1.47101,245.30524,-1.6844,244.83979,0.00239,0.98203,3.18954,3.1554,-0.46545,0.00077,61.32076,0.02588,0.02589,-0.85186,-0.85185,0,Not_seen,Not_seen,Not_seen,0.0,ALREFAY
408,408,2456275.10042,27.52,41.7,0.6,2456275.09445,2456275.10789,19.36185,1.50892,244.95487,-1.71419,244.61344,0.00239,0.98203,3.24114,3.22311,-0.34143,0.0008,61.3187,0.02672,0.02674,-0.84456,-0.84455,0,Not_seen,Not_seen,Not_seen,0.0,ALREFAY
409,409,2456275.0937,25.25,45.25,0.594,2456275.08803,2456275.10079,18.36594,1.45242,245.60904,-1.66537,245.04322,0.00239,0.98203,3.1687,3.11779,-0.56582,0.00076,61.32172,0.02554,0.02555,-0.85583,-0.85582,0,Not_seen,Not_seen,Not_seen,0.0,ALREFAY
410,410,2456275.09212,25.62,45.62,0.592,2456275.08645,2456275.0992,18.35995,1.44333,245.51528,-1.65811,244.96941,0.00239,0.98203,3.1491,3.10144,-0.54586,0.00076,61.32231,0.02523,0.02524,-0.85766,-0.85765,0,Not_seen,Not_seen,Not_seen,0.0,ALREFAY
411,411,2456334.1393,21.42,39.83,0.639,2456334.13344,2456334.14663,18.9935,1.76191,260.30489,-1.89707,255.53034,0.00248,0.98449,6.0147,3.65898,-4.77454,0.00275,58.99225,0.08848,0.08852,-0.76244,-0.76241,0,Not_seen,Not_seen,Not_seen,0.0,ALREFAY
412,412,2456334.13786,24.39,39.63,0.638,2456334.13153,2456334.14576,20.49714,1.88639,259.87623,-2.00065,255.35245,0.00248,0.98449,5.9637,3.88703,-4.52378,0.00271,58.98907,0.08698,0.08703,-0.74056,-0.74053,0,Not_seen,Not_seen,Not_seen,0.0,ALREFAY
413,413,2456334.14318,28.4,36.73,0.643,2456334.13606,2456334.15209,23.09614,2.0942,259.21838,-2.17311,255.06661,0.00248,0.98449,5.95308,4.26731,-4.15177,0.0027,58.97834,0.08666,0.08671,-0.70273,-0.7027,0,Not_seen,Not_seen,Not_seen,0.0,ALREFAY
414,414,2456334.12134,25.25,45.25,0.621,2456334.11517,2456334.12905,19.98233,1.80669,259.71476,-1.93577,255.2422,0.00248,0.98448,5.83118,3.74246,-4.47257,0.00259,59.00189,0.08318,0.08322,-0.75737,-0.75735,0,Not_seen,Not_seen,Not_seen,0.0,ALREFAY
415,415,2456334.12003,25.62,45.62,0.62,2456334.11382,2456334.12779,20.10982,1.81369,259.65421,-1.94135,255.21095,0.00248,0.98448,5.81685,3.75503,-4.44326,0.00257,59.00246,0.08277,0.08282,-0.75637,-0.75634,0,Not_seen,Not_seen,Not_seen,0.0,ALREFAY
