Index,Date,Latitude,Longitude,Moon Age,Sunset,Moonset,Lag,Moon Alt,Moon Az,Sun Alt,Sun Az,Moon-Earth Dist,Sun-Moon Dist,ARCL,ARCV,DAZ,Illumination,Parallax,W,W',q,q',Cloud Level,Seen,Method,Methods,Visibility,Source
0,2404269.19,38,23.7,27.69,2404269.233,2404269.136,-140.82531,-12.76575,309.95947,11.53781,285.98951,0.00263,1.01333,34.00717,24.30356,-23.96996,0.08552,54.34749,2.53247,2.52363,2.54377,2.53972,0,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,1,YALLOP
1,2407553.267,38,23.7,3.767,2407553.235,2407553.306,101.94275,10.53355,265.68242,-7.75686,303.36891,0.00252,1.01401,41.73442,18.29041,37.6865,0.12688,57.24332,3.95765,3.9697,2.63227,2.63867,0,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,1,YALLOP
2,2405067.159,38,23.7,27.659,2405067.17,2405067.145,-36.18433,-4.19547,286.16456,3.15874,263.59369,0.00266,0.99817,23.72309,7.35421,-22.57088,0.04225,54.86483,1.26309,1.26162,0.25406,0.25333,0,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,1,YALLOP
3,2407695.089,38,23.7,27.589,2407695.126,2407695.042,-119.98312,-11.93347,249.9,8.70089,231.56901,0.0024,0.98229,27.52963,20.63436,-18.33099,0.05661,59.75469,1.84337,1.83675,1.86028,1.85719,0,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,1,YALLOP
4,2407699.17,38,23.7,2.67,2407699.126,2407699.225,142.51336,11.98466,230.37349,-11.2535,249.13649,0.00245,0.98192,29.7859,23.23817,18.763,0.06606,58.58651,2.10876,2.11622,2.24339,2.24682,0,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,1,YALLOP
5,2446000.164,15.6,35.6,2.664,2446000.13,2446000.206,108.79271,12.23406,243.08092,-11.40705,259.87936,0.00245,0.99172,28.93188,23.64111,16.79844,0.0624,58.39831,1.98572,1.99287,2.22701,2.23031,0,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,1,YALLOP
6,2407523.278,38,23.7,3.778,2407523.24,2407523.326,123.47713,12.15131,282.91834,-8.87809,309.28581,0.00259,1.01437,33.60117,21.02939,26.36747,0.08355,55.26156,2.51571,2.52422,2.20869,2.21258,0,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,1,YALLOP
7,2407493.273,38,23.7,2.773,2407493.229,2407493.327,140.63501,12.79076,292.05136,-10.47603,306.78956,0.00266,1.01064,27.48582,23.2668,14.7382,0.05644,53.64994,1.64988,1.65558,2.03261,2.03531,0,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,1,YALLOP
8,2445941.19,15.6,35.6,2.69,2445941.159,2445941.228,98.28727,12.20593,269.50356,-10.31564,282.98466,0.0024,1.00782,26.20233,22.52157,13.48111,0.05138,59.64237,1.6698,1.67592,1.96752,1.97042,0,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,1,YALLOP
9,2445853.203,15.6,35.6,2.703,2445853.168,2445853.247,114.06837,12.7254,293.51219,-11.06813,296.96111,0.00253,1.01197,24.03858,23.79353,3.44892,0.04336,56.54003,1.336,1.34084,1.93398,1.93636,0,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,1,YALLOP
10,2448393.566,39,-76.8,3.066,2448393.506,2448393.642,194.95378,17.92068,286.80699,-14.19792,309.85953,0.00242,1.00938,39.34968,32.1186,23.05254,0.11335,57.61243,3.55854,3.57689,3.80999,3.81914,0,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,1,YALLOP
11,2445794.19,15.6,35.6,2.69,2445794.158,2445794.23,103.55119,12.61821,278.88004,-10.98786,279.01696,0.00266,0.99777,23.60646,23.60607,0.13692,0.04184,53.75758,1.22563,1.22982,1.86061,1.8627,0,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,1,YALLOP
12,2401026.217,38,23.7,3.717,2401026.196,2401026.244,70.39721,6.5554,245.92594,-6.07682,282.38551,0.00243,1.00511,38.51524,12.63222,36.45957,0.10878,59.99461,3.55609,3.56318,1.86013,1.86366,0,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,1,YALLOP
13,2407315.161,38,23.7,2.661,2407315.127,2407315.205,111.67585,8.61521,225.90062,-8.97017,250.27311,0.0025,0.98434,29.97622,17.58538,24.37249,0.06688,57.98524,2.11326,2.1186,1.68018,1.68263,0,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,1,YALLOP
