Index,Date,Latitude,Longitude,Moon Age,Sunset,Moonset,Lag,Moon Alt,Moon Az,Sun Alt,Sun Az,Moon-Earth Dist,Sun-Moon Dist,ARCL,ARCV,DAZ,Illumination,Parallax,W,W',q,q',Cloud Level,Seen,Method,Methods,Visibility
203,2451905.2524,-32.3,20.8,1.752,2451905.23987,2451905.26807,40.6,3.60642,246.13165,-4.14037,238.96644,0.00271,0.98081,10.54863,7.74679,-7.16521,0.00845,54.05048,0.24887,0.24912,-0.25606,-0.25591,0,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,1
204,2451905.26203,-33.9,18.4,1.762,2451905.24947,2451905.27774,40.71667,3.52808,245.75395,-4.06954,238.25323,0.00271,0.98081,10.67243,7.59762,-7.50072,0.00865,54.05337,0.25474,0.25499,-0.26746,-0.26732,0,Seen,Seen_binoculars,Seen_binoculars;Seen_telescope;Seen_ccd,0.75
205,2450576.19562,31.8,34.9,1.696,2450576.1838,2450576.21039,38.3,3.58992,285.25511,-4.1907,292.91974,0.00252,1.00681,10.91754,7.78062,7.66463,0.00905,58.13694,0.28668,0.28698,-0.23017,-0.22999,0,Seen,Seen_binoculars,Seen_binoculars;Seen_telescope;Seen_ccd,0.75
206,2452643.21422,32.5,3.7,1.714,2452643.20271,2452643.2286,37.28333,2.99338,236.91494,-3.98096,245.38359,0.00253,0.98084,10.96656,6.97435,8.46865,0.00913,57.81324,0.28764,0.2879,-0.31022,-0.31007,0,Not_seen,Not_seen,Not_seen,0
207,2447180.54512,32.2,-111.0,1.045,2447180.53127,2447180.56243,44.86667,3.89865,241.48648,-4.72995,248.91143,0.00239,0.98163,11.37873,8.62861,7.42495,0.00983,61.18566,0.32766,0.32805,-0.12118,-0.12095,0,Seen,Seen_binoculars,Seen_binoculars;Seen_telescope;Seen_ccd,0.75
208,2452289.0918,29.6,52.5,1.592,2452289.07788,2452289.1092,45.1,4.09635,241.20299,-4.84195,248.25024,0.00267,0.98104,11.37778,8.9383,7.04725,0.00983,54.77522,0.29328,0.29361,-0.11049,-0.11029,0,Seen,Seen_binoculars,Seen_binoculars;Seen_telescope;Seen_ccd,0.75
209,2451728.16885,32.6,51.7,1.669,2451728.15605,2451728.18485,41.46667,3.6972,292.33595,-4.2129,300.77761,0.00239,1.0144,11.56359,7.9101,8.44166,0.01015,61.13873,0.3381,0.33848,-0.18691,-0.18668,0,Seen,Seen_telescope,Seen_telescope;Seen_ccd,0.5
210,2451640.13581,32.6,51.7,1.636,2451640.12226,2451640.15275,43.91667,4.33328,273.62917,-4.88687,280.74022,0.0025,0.99824,11.63906,9.22015,7.11105,0.01028,58.57764,0.32816,0.32858,-0.06174,-0.06149,0,Seen,Seen_binoculars,Seen_binoculars;Seen_telescope;Seen_ccd,0.75
211,2451816.21315,-33.9,18.4,1.713,2451816.19939,2451816.23035,44.58333,4.35771,270.96885,-4.92897,263.85123,0.00252,0.99935,11.69575,9.28667,-7.11761,0.01038,57.96964,0.32791,0.32833,-0.05523,-0.05498,0,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,1
212,2453027.22691,32.5,3.7,1.727,2453027.21403,2453027.24301,41.73333,3.56049,240.78805,-4.46145,249.42579,0.00247,0.98179,11.78285,8.02195,8.63774,0.01054,59.28983,0.34038,0.34074,-0.17439,-0.17417,0,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,1
213,2453264.102,36.6,59.0,1.602,2453264.09123,2453264.11546,34.9,3.25634,266.97234,-3.93521,276.36822,0.00256,1.00295,11.82717,7.19155,9.39588,0.01061,57.20608,0.33088,0.33119,-0.263,-0.26281,0,Seen,Seen_binoculars,Seen_binoculars;Seen_telescope;Seen_ccd,0.75
214,2451344.15843,29.6,52.5,1.658,2451344.14654,2451344.1733,38.53333,3.57225,290.58301,-4.09975,299.73846,0.00241,1.01336,11.93963,7.672,9.15545,0.01082,60.67736,0.35764,0.35803,-0.19928,-0.19905,0,Seen,Seen_telescope,Seen_telescope;Seen_ccd,0.5
