Index,Date,Latitude,Longitude,Moon Age,Sunset,Moonset,Lag,Moon Alt,Moon Az,Sun Alt,Sun Az,Moon-Earth Dist,Sun-Moon Dist,ARCL,ARCV,DAZ,Illumination,Parallax,W,W',q,q',Cloud Level,Seen,Method,Methods,Visibility,Source,Cloud cover,Distance
1491,2460056.26652,32.89667,13.17779,1.591,2460056.23719,2460056.30318,95.03333,9.39995,286.7682,-9.26596,290.82472,0.00256,1.0025,19.09779,18.66591,4.05653,0.02752,56.50299,0.84728,0.84955,1.17223,1.17343,0.5,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,1.0,ICOP23,0.625,83858.05201702421
1497,2460056.20276,31.76203,35.21775,1.527,2460056.17495,2460056.23751,90.08333,9.02738,286.63838,-8.94906,290.10257,0.00256,1.00247,18.30449,17.97644,3.4642,0.0253,56.60729,0.78037,0.78239,1.0676,1.06868,0.5,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,1.0,ICOP23,0.5,46196.60578768474
1501,2460056.27562,35.50368,11.06824,1.6,2460056.24542,2460056.31337,97.85,9.34285,286.89694,-9.21206,291.93501,0.00256,1.0025,19.22094,18.55491,5.03808,0.02787,56.50591,0.85818,0.86047,1.16691,1.16812,0.0,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,1.0,ICOP23,0.75,34011.37790517912
1504,2460056.13888,25.39366,55.44514,1.464,2460056.11369,2460056.17037,81.61667,8.74232,286.55743,-8.71945,287.69659,0.00256,1.00245,17.49861,17.46178,1.13916,0.02314,56.696,0.71481,0.71661,0.98074,0.98171,0.0,Seen,Seen_ccd,Seen_ccd,0.25,ICOP23,0.75,441498.43842093204
1505,2460056.34558,53.57829,-2.43004,1.67,2460056.3064,2460056.39456,126.95,8.15358,291.4649,-8.24275,303.34276,0.00256,1.00254,20.22272,16.39634,11.87786,0.03082,56.63743,0.95122,0.95344,0.99988,1.00104,0.5,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,1.0,ICOP23,1.0,58665.830724508785
1506,2460056.33532,51.5111,-0.59407,1.66,2460056.29764,2460056.38243,122.1,8.36089,290.43573,-8.40075,301.52227,0.00256,1.00253,20.0745,16.76164,11.08654,0.03038,56.61492,0.9371,0.93934,1.02905,1.03022,0.5,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,1.0,ICOP23,0.0,10441.284556737019
1509,2460053.25987,35.77743,-5.80323,28.035,2460053.29081,2460053.2212,-100.23333,-11.26019,280.09074,8.03012,277.71254,0.00248,1.00172,19.43487,19.29032,-2.3782,0.02849,57.9193,0.89915,0.89619,1.26204,1.26049,0.0,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,1.0,ICOP23,0.75,47618.5969619393
1510,2460053.12585,21.46424,39.27644,27.901,2460053.15503,2460053.08938,-94.55,-12.26219,275.75725,8.78671,278.30161,0.00248,1.00171,21.20026,21.04891,2.54436,0.03384,57.76135,1.06505,1.06125,1.52385,1.5219,0.0,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,1.0,ICOP23,0.875,619333.6876656016
1511,2460053.08198,25.26535,55.29249,27.858,2460053.11303,2460053.04316,-100.61667,-12.63682,276.55748,9.11378,277.77651,0.00248,1.00171,21.78429,21.7506,1.21902,0.03571,57.69463,1.12252,1.1184,1.62325,1.62116,1.0,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,1.0,ICOP23,0.0,137411.08239973386
1512,2460054.24377,33.49162,6.79779,29.019,2460054.2544,2460054.23047,-34.45,-4.30655,282.35548,2.27519,282.0116,0.0025,1.00186,6.59071,6.58174,-0.34388,0.0033,58.41534,0.10518,0.10504,-0.45983,-0.45992,1.0,Not_seen,Not_seen,Not_seen,0.0,ICOP23,0.375,63163.11946496119
1514,2460054.12494,30.46595,47.97829,28.901,2460054.13751,2460054.10924,-40.71667,-5.15685,281.41269,2.97341,281.27697,0.0025,1.00184,8.1314,8.13027,-0.13572,0.00503,58.40783,0.15999,0.15974,-0.27136,-0.27151,0.0,Not_seen,Not_seen,Not_seen,0.0,ICOP23,0.625,257818.01180949775
1515,2460054.14414,21.46424,39.27644,28.92,2460054.15528,2460054.13021,-36.1,-4.98968,279.97635,2.82278,280.96012,0.0025,1.00184,7.87403,7.81245,0.98377,0.00471,58.41271,0.15005,0.14983,-0.30921,-0.30934,0.0,Not_seen,Not_seen,Not_seen,0.0,ICOP23,1.0,131800.02859145228
1516,2460054.10132,25.22537,55.17421,28.877,2460054.11366,2460054.08589,-39.98333,-5.32031,280.39883,3.09817,280.94155,0.0025,1.00183,8.43592,8.41848,0.54272,0.00541,58.4051,0.17216,0.17189,-0.23513,-0.23529,0.0,Seen,Seen_telescope,Seen_telescope;Seen_ccd,0.5,ICOP23,0.0,148908.25694160818
1520,2460085.15587,26.1742,50.54734,0.994,2460085.13862,2460085.17743,55.88333,5.41615,295.07834,-5.91012,295.74153,0.00261,1.00933,11.34561,11.32627,0.66319,0.00977,55.85799,0.29739,0.29785,0.13074,0.13101,0.5,Seen,Seen_ccd,Seen_ccd,0.25,ICOP23,0.75,14514.233387260752
1521,2460085.28068,43.85198,18.38669,1.119,2460085.25716,2460085.31007,76.18333,5.54909,299.59334,-5.98817,305.35243,0.00262,1.00937,12.89042,11.53726,5.7591,0.0126,55.77561,0.38296,0.38356,0.20199,0.20233,0.5,Seen,Seen_binoculars,Seen_binoculars;Seen_telescope;Seen_ccd,0.75,ICOP23,1.0,73125.58175230249
1525,2460085.27254,32.89667,13.17779,1.111,2460085.25192,2460085.29832,66.81667,6.01112,296.0521,-6.39561,298.89327,0.00262,1.00936,12.72664,12.40673,2.84117,0.01228,55.73466,0.37306,0.37369,0.28318,0.28354,1.0,Not_seen,Not_seen,Not_seen,0.0,ICOP23,0.75,83858.05201702421
1526,2460084.98085,2.52289,101.79451,0.819,2460084.96984,2460084.99462,35.68333,3.7746,294.6542,-4.55161,290.28121,0.00261,1.00928,9.40289,8.32621,-4.37299,0.00672,56.08552,0.20531,0.20553,-0.22428,-0.22414,0.5,Seen,Seen_ccd,Seen_ccd,0.25,ICOP23,0.875,25643.8062999559
1532,2460085.21065,36.19924,37.16373,1.049,2460085.19051,2460085.23583,65.26667,5.54374,296.88308,-5.99693,300.23865,0.00261,1.00935,12.01702,11.54068,3.35558,0.01096,55.81532,0.33325,0.33377,0.17331,0.17361,0.0,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,1.0,ICOP23,0.5,390360.7171712952
1533,2460085.21164,35.92783,36.6353,1.05,2460085.19153,2460085.23677,65.15,5.55789,296.81014,-6.01109,300.10381,0.00261,1.00935,12.02716,11.56898,3.29367,0.01098,55.81343,0.3338,0.33432,0.17646,0.17677,0.5,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,1.0,ICOP23,0.5,345319.2890831849
