Index,Date,Latitude,Longitude,Moon Age,Sunset,Moonset,Lag,Moon Alt,Moon Az,Sun Alt,Sun Az,Moon-Earth Dist,Sun-Moon Dist,ARCL,ARCV,DAZ,Illumination,Parallax,W,W',q,q',Cloud Level,Seen,Method,Methods,Visibility,Source,Cloud cover,Distance
534,2459701.3388,54.97328,-1.61396,0.986,2459701.32061,2459701.36154,58.93333,3.304,296.56141,-4.03782,304.08075,0.00267,1.00503,10.50538,7.34182,7.51934,0.00838,54.80551,0.25029,0.25052,-0.2957,-0.29557,1.0,Not_seen,Not_seen,Not_seen,0.0,ICOUK,8,86489.51167203148
535,2459701.32532,51.50853,-0.12574,0.972,2459701.30814,2459701.34679,55.66667,3.5104,294.24982,-4.20884,301.09122,0.00267,1.00502,10.3111,7.71924,6.8414,0.00807,54.79888,0.24111,0.24135,-0.26345,-0.26331,1.0,Not_seen,Not_seen,Not_seen,0.0,ICOUK,8,20648.90715971427
536,2459701.33165,52.52323,-1.46523,0.979,2459701.31414,2459701.35354,56.73333,3.46606,294.86389,-4.17113,301.92005,0.00267,1.00503,10.39424,7.63718,7.05616,0.00821,54.79906,0.24501,0.24524,-0.26933,-0.26919,1.0,Not_seen,Not_seen,Not_seen,0.0,ICOUK,8,54956.867519872576
537,2459701.33847,53.76282,-2.70452,0.986,2459701.32056,2459701.36086,58.03333,3.40169,295.68321,-4.11841,302.99636,0.00267,1.00503,10.48595,7.5201,7.31315,0.00835,54.80016,0.24934,0.24958,-0.27844,-0.2783,1.0,Not_seen,Not_seen,Not_seen,0.0,ICOUK,8,68806.2996493824
538,2459701.32575,51.46879,-0.31285,0.973,2459701.30856,2459701.34723,55.68333,3.51595,294.22632,-4.21267,301.06373,0.00267,1.00502,10.31547,7.72861,6.83741,0.00808,54.79839,0.24132,0.24155,-0.26239,-0.26225,0.5,Not_seen,Not_seen,Not_seen,0.0,ICOUK,8,11541.111544148987
539,2459701.33584,54.5828,-0.9732,0.983,2459701.31781,2459701.35838,58.41667,3.32235,296.26768,-4.05283,303.70049,0.00267,1.00503,10.46715,7.37517,7.43281,0.00832,54.80561,0.24848,0.24871,-0.29345,-0.29332,1.0,Not_seen,Not_seen,Not_seen,0.0,ICOUK,8,74933.17030299
540,2459701.32751,50.90395,-1.40428,0.975,2459701.31038,2459701.34891,55.48333,3.56571,293.90723,-4.25478,300.65924,0.00267,1.00502,10.32846,7.82049,6.752,0.0081,54.79478,0.24191,0.24215,-0.25285,-0.25271,1.0,Not_seen,Not_seen,Not_seen,0.0,ICOUK,8,42997.22875401918
541,2459701.33644,51.62079,-3.94323,0.984,2459701.31899,2459701.35825,56.53333,3.55836,294.31812,-4.24764,301.25146,0.00267,1.00503,10.4369,7.80601,6.93334,0.00827,54.79182,0.24698,0.24723,-0.25126,-0.25112,1.0,Not_seen,Not_seen,Not_seen,0.0,ICOUK,8,61466.820207896446
542,2459701.33439,53.95763,-1.08271,0.982,2459701.31653,2459701.35671,57.86667,3.3665,295.81708,-4.08889,303.13467,0.00267,1.00503,10.4428,7.45539,7.31759,0.00828,54.8037,0.24732,0.24755,-0.28613,-0.28599,1.0,Not_seen,Not_seen,Not_seen,0.0,ICOUK,8,61886.341669124406
543,2459702.36193,53.75,-2.48333,2.009,2459702.32116,2459702.41289,132.1,8.13607,295.57799,-7.97814,310.48928,0.00269,1.00542,21.92133,16.11421,14.91129,0.03615,53.99442,1.06363,1.06599,1.02965,1.03086,1.0,Not_seen,Not_seen,Not_seen,0.0,ICOUK,8,72817.84772086279
544,2459702.35683,52.47214,-2.08212,2.004,2459702.31692,2459702.40671,129.3,8.32774,294.70998,-8.13576,309.12375,0.00269,1.00542,21.8488,16.4635,14.41377,0.03592,53.96984,1.05621,1.05861,1.06078,1.06201,1.0,Not_seen,Not_seen,Not_seen,0.0,ICOUK,8,59748.45989617706
545,2459702.35926,50.10319,-5.27045,2.006,2459702.32052,2459702.40767,125.5,8.70888,293.3442,-8.45359,306.91554,0.00269,1.00542,21.84835,17.16247,13.57135,0.03591,53.91536,1.0551,1.0576,1.13011,1.13139,0.0,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,1.0,ICOUK,7,13044.662552921018
