hijri_month,conj,date,country,city,state,atmosphere,sky,y_eye,y_bino,y_tele,y_ccd
34-2,2012-12-13 08:42:00,2012-12-14,Algeria,Guerrara,Ghardaia,superb,clear,True,False,False,False
34-2,2012-12-13 08:42:00,2012-12-14,Germany,Munich,Bavaria,very hazy,partly cloudy,False,False,False,True
34-2,2012-12-13 08:42:00,2012-12-14,Ghana,Accra,Greater Accra Region,superb,clear,True,False,False,False
34-2,2012-12-13 08:42:00,2012-12-14,Indonesia,Surakarta,Central Java,hazy,partly cloudy,True,True,True,False
34-2,2012-12-13 08:42:00,2012-12-14,Malaysia,Tg Bidara,MELAKA,hazy,partly cloudy,True,False,True,False
34-2,2012-12-13 08:42:00,2012-12-14,Nigeria,Lagos,Lagos,clear,clear,False,False,False,False
34-2,2012-12-13 08:42:00,2012-12-14,Nigeria,Kaduna,Kaduna,clear,clear,True,False,False,False
34-2,2012-12-13 08:42:00,2012-12-14,Pakistan,karachi,Sindh,very hazy,totally cloudy,False,False,False,False
34-2,2012-12-13 08:42:00,2012-12-14,Saudi Arabia,near Boraydah,AlGaseem,superb,partly cloudy,True,True,True,False
34-2,2012-12-13 08:42:00,2012-12-14,Tanzania,Daressalaam,Tanzania,clear,partly cloudy,True,True,False,False
34-2,2012-12-13 08:42:00,2012-12-14,Tunisia,المنستير,المنستير,clear,clear,True,True,False,False
34-2,2012-12-13 08:42:00,2012-12-14,United States,Blacksburg,VA,hazy,partly cloudy,True,True,False,False
34-3,2013-01-11 19:44:00,2013-01-11,Tunisia,المنستير,المنستير,hazy,partly cloudy,False,False,False,False
34-3,2013-01-11 19:44:00,2013-01-12,Algeria,Ghardaia,Ghardaia,superb,clear,True,True,False,False
34-3,2013-01-11 19:44:00,2013-01-12,Algeria,Hassi Berkine,Ouargla,superb,clear,True,False,False,False
34-3,2013-01-11 19:44:00,2013-01-12,Hungary,Sátorhely,Baranya,clear,partly cloudy,True,True,False,False
34-3,2013-01-11 19:44:00,2013-01-12,Iran,AhmadAbad Ardakan,Yazd,hazy,clear,True,False,True,False
34-3,2013-01-11 19:44:00,2013-01-12,Iran,saravan,balochistan,very hazy,clear,False,True,False,False
34-3,2013-01-11 19:44:00,2013-01-12,Iran,Esfahan,Esfahan,superb,clear,True,True,False,False
34-3,2013-01-11 19:44:00,2013-01-12,Nigeria,kaduna,kaduna,very hazy,clear,False,False,False,False
34-3,2013-01-11 19:44:00,2013-01-12,Oman,الخوض,مسقط,clear,partly cloudy,False,False,False,True
34-3,2013-01-11 19:44:00,2013-01-12,Oman,Al-Fulaij,Muscat,clear,partly cloudy,False,False,True,True
34-3,2013-01-11 19:44:00,2013-01-12,Pakistan,karachi,sindh,very hazy,clear,False,False,False,False
34-3,2013-01-11 19:44:00,2013-01-12,Saudi Arabia,Albosor (near Boraydah),AlGaseem,superb,partly cloudy,False,False,True,False
34-3,2013-01-11 19:44:00,2013-01-12,South Africa,Cape Town,Western Cape,clear,clear,False,False,False,False
34-3,2013-01-11 19:44:00,2013-01-12,Tanzania,Daressalaam,Tanzania,hazy,partly cloudy,False,False,False,False
34-3,2013-01-11 19:44:00,2013-01-12,United Arab Emirates,دبي,دبي,clear,clear,False,False,True,False
34-3,2013-01-11 19:44:00,2013-01-12,United Kingdom,York,North Yorkshire,hazy,partly cloudy,True,True,True,False
34-3,2013-01-11 19:44:00,2013-01-12,United States,Blacksburg,VIRGINIA,hazy,partly cloudy,True,True,False,False
34-3,2013-01-11 19:44:00,2013-01-13,Indonesia,Medan,Sumatera utara,hazy,partly cloudy,True,False,True,False
34-3,2013-01-11 19:44:00,2013-01-13,Tunisia,المنستير,المنستير,clear,clear,True,False,False,False
34-6,2013-04-10 09:35:00,2013-04-10,Nigeria,kaduna,kaduna,clear,totally cloudy,False,False,False,False
34-6,2013-04-10 09:35:00,2013-04-10,Saudi Arabia,Buraydah,Gasseem,very hazy,partly cloudy,False,False,False,False
34-6,2013-04-10 09:35:00,2013-04-10,United Kingdom,York,North Yorkshire,hazy,totally cloudy,False,False,False,False
34-6,2013-04-10 09:35:00,2013-04-10,United States,Tucson,Arizona,clear,clear,False,False,True,False
34-6,2013-04-10 09:35:00,2013-04-10,United States,McDonald Obs,TX,hazy,partly cloudy,False,False,False,False
34-6,2013-04-10 09:35:00,2013-04-10,United States,Blacksburg,Virginia,very hazy,partly cloudy,False,False,False,False
34-6,2013-04-10 09:35:00,2013-04-11,Algeria,Ghardaia,Ghardaia,superb,clear,True,True,True,False
34-6,2013-04-10 09:35:00,2013-04-11,Hungary,Bataszek,Tolna,hazy,partly cloudy,True,True,False,False
34-6,2013-04-10 09:35:00,2013-04-11,Indonesia,Medan,Sumatera utara,very hazy,totally cloudy,False,False,False,False
34-6,2013-04-10 09:35:00,2013-04-11,Indonesia,Surakarta,Central Java,hazy,totally cloudy,False,False,False,False
34-6,2013-04-10 09:35:00,2013-04-11,Iran,Khour,Esfahan,hazy,clear,True,True,False,False
34-6,2013-04-10 09:35:00,2013-04-11,Libya,البريقة,اجدابيا,clear,clear,True,False,False,False
34-6,2013-04-10 09:35:00,2013-04-11,Nigeria,kaduna,kaduna,very hazy,clear,False,False,False,False
34-6,2013-04-10 09:35:00,2013-04-11,Pakistan,karachi,Sindh,hazy,clear,False,False,False,False
34-6,2013-04-10 09:35:00,2013-04-11,Saudi Arabia,Buraydah,Gasseem,very hazy,partly cloudy,False,False,False,False
34-6,2013-04-10 09:35:00,2013-04-11,South Africa,Cape Town,Western Cape,very hazy,partly cloudy,False,False,False,False
34-6,2013-04-10 09:35:00,2013-04-11,United States,Blacksburg,Virginia,very hazy,totally cloudy,False,False,False,False
34-7,2013-05-10 00:29:00,2013-05-10,Algeria,Ghardaia,Ghardaia,hazy,clear,False,False,False,False
34-7,2013-05-10 00:29:00,2013-05-10,Indonesia,Surakarta,Central Java,hazy,partly cloudy,False,False,False,False
34-7,2013-05-10 00:29:00,2013-05-10,Libya,البريقة,اجدابيا,clear,clear,False,False,False,False
34-7,2013-05-10 00:29:00,2013-05-10,Pakistan,karachi,sindh,very hazy,clear,False,False,False,False
34-7,2013-05-10 00:29:00,2013-05-10,Saudi Arabia,Buraydah,AlGasseem,hazy,partly cloudy,False,False,False,False
34-7,2013-05-10 00:29:00,2013-05-10,Tunisia,المنستير,المنستير,hazy,partly cloudy,False,False,False,False
34-7,2013-05-10 00:29:00,2013-05-10,United Kingdom,York,North Yorkshire,hazy,totally cloudy,False,False,False,False
34-7,2013-05-10 00:29:00,2013-05-10,United States,Houston,TEXAS,very hazy,totally cloudy,False,False,False,False
34-7,2013-05-10 00:29:00,2013-05-11,Bahrain,مدينة عيسى,الوسطى,hazy,clear,True,True,False,False
34-7,2013-05-10 00:29:00,2013-05-11,Indonesia,Medan,Sumatera utara,hazy,partly cloudy,True,False,False,False
34-7,2013-05-10 00:29:00,2013-05-11,Indonesia,Surakarta,Central Java,very hazy,totally cloudy,False,False,False,False
34-7,2013-05-10 00:29:00,2013-05-11,Libya,البريقة,اجدابيا,clear,clear,True,False,False,False
34-7,2013-05-10 00:29:00,2013-05-11,Nigeria,kaduna,kaduna,clear,partly cloudy,True,False,False,False
34-7,2013-05-10 00:29:00,2013-05-11,South Africa,Cape Town,Western Cape,clear,clear,True,False,False,False
34-7,2013-05-10 00:29:00,2013-05-11,South Africa,Cape Town,Western Cape,hazy,clear,True,True,False,False
34-7,2013-05-10 00:29:00,2013-05-11,Tunisia,المنستير,المنستير,hazy,partly cloudy,True,True,False,False
34-7,2013-05-10 00:29:00,2013-05-11,United Arab Emirates,Abu Dhabi,Abu Dhabi,superb,clear,False,False,False,True
34-7,2013-05-10 00:29:00,2013-05-11,United States,Blacksburg,Virginia,hazy,partly cloudy,True,True,False,False
34-8,2013-06-08 15:56:00,2013-06-08,Saudi Arabia,buraydah,algaseem,superb,clear,False,False,False,False
34-8,2013-06-08 15:56:00,2013-06-08,Tunisia,المنستير,المنستير,hazy,clear,False,False,False,False
34-8,2013-06-08 15:56:00,2013-06-09,Algeria,Ghardaia,Ghardaia,hazy,clear,False,False,False,False
34-8,2013-06-08 15:56:00,2013-06-09,Indonesia,Surakarta,Central Java,hazy,partly cloudy,False,False,False,False
34-8,2013-06-08 15:56:00,2013-06-09,Indonesia,Medan,Sumatera utara,hazy,totally cloudy,False,False,False,False
34-8,2013-06-08 15:56:00,2013-06-09,Iran,‌Bojnurd,Khorasan,hazy,clear,False,False,True,False
34-8,2013-06-08 15:56:00,2013-06-09,Iran,Bojnord,Khorasan,hazy,clear,False,False,True,False
34-8,2013-06-08 15:56:00,2013-06-09,Iran,saravan,balochistan,very hazy,partly cloudy,False,False,False,False
34-8,2013-06-08 15:56:00,2013-06-09,Libya,tripoli,tripoli,clear,partly cloudy,False,False,False,False
34-8,2013-06-08 15:56:00,2013-06-09,Libya,البريقة,اجدابيا,clear,clear,False,False,False,False
34-8,2013-06-08 15:56:00,2013-06-09,Libya,Susa,Jabal Al-Akhdar,superb,clear,False,False,False,True
34-8,2013-06-08 15:56:00,2013-06-09,Libya,Susa,Jabal Al-Akhdar,superb,clear,False,False,True,True
34-8,2013-06-08 15:56:00,2013-06-09,Malaysia,Tanjung Bidara,Melaka,clear,totally cloudy,False,False,False,False
34-8,2013-06-08 15:56:00,2013-06-09,Pakistan,karachi,sindh,very hazy,clear,False,False,False,False
34-8,2013-06-08 15:56:00,2013-06-09,Saudi Arabia,Burydah,al Gaseem,hazy,clear,False,False,False,False
34-8,2013-06-08 15:56:00,2013-06-09,Senegal,Dakar,Sénégal,very hazy,totally cloudy,False,False,False,False
34-8,2013-06-08 15:56:00,2013-06-09,South Africa,Cape Town,Western Cape,clear,partly cloudy,True,False,False,False
34-8,2013-06-08 15:56:00,2013-06-09,South Africa,Cape Town,Western Cape,hazy,clear,False,True,False,False
34-8,2013-06-08 15:56:00,2013-06-09,Tanzania,Daressalaam,Tanzania,hazy,partly cloudy,False,False,False,False
34-8,2013-06-08 15:56:00,2013-06-09,Tunisia,المنستير,المنستير,hazy,clear,False,False,False,False
34-8,2013-06-08 15:56:00,2013-06-09,United Kingdom,York,North Yorkshire,hazy,partly cloudy,False,False,False,False
34-8,2013-06-08 15:56:00,2013-06-09,United States,Blacksburg,VA,hazy,totally cloudy,False,False,False,False
34-8,2013-06-08 15:56:00,2013-06-10,Algeria,Ghardaia,Ghardaia,clear,clear,True,False,False,False
34-8,2013-06-08 15:56:00,2013-06-10,Libya,طرابلس,طرابلس,clear,partly cloudy,True,False,False,False
34-8,2013-06-08 15:56:00,2013-06-10,Nigeria,Ilorin,Kwara State,clear,partly cloudy,True,False,False,False
34-8,2013-06-08 15:56:00,2013-06-10,United States,Blacksburg,VA,clear,partly cloudy,True,False,False,False
34-9,2013-07-08 07:14:00,2013-07-08,Brunei Darussalam,Bandar Seri Begawan,Brunei,clear,partly cloudy,False,False,False,False
34-9,2013-07-08 07:14:00,2013-07-08,Germany,Munich,Bavaria,very hazy,partly cloudy,False,False,False,False
34-9,2013-07-08 07:14:00,2013-07-08,Germany,Marburg,Hessen,clear,partly cloudy,False,False,False,False
34-9,2013-07-08 07:14:00,2013-07-08,Ghana,Accra,Greater Accra Region,hazy,partly cloudy,False,False,False,False
34-9,2013-07-08 07:14:00,2013-07-08,Indonesia,Surakarta,Central Java,clear,partly cloudy,False,False,False,False
34-9,2013-07-08 07:14:00,2013-07-08,Malaysia,Tanjung Bidara,Melaka,hazy,partly cloudy,False,False,False,False
34-9,2013-07-08 07:14:00,2013-07-08,Nigeria,Abuja,FCT,very hazy,totally cloudy,False,False,False,False
34-9,2013-07-08 07:14:00,2013-07-08,Nigeria,Ilorin,Kwara,very hazy,totally cloudy,False,False,False,False
34-9,2013-07-08 07:14:00,2013-07-08,Saudi Arabia,Buraydah,Algaseem,hazy,clear,False,False,False,False
34-9,2013-07-08 07:14:00,2013-07-08,Saudi Arabia,ينبع الصناعية,المدينة المنورة,clear,totally cloudy,False,False,False,False
34-9,2013-07-08 07:14:00,2013-07-08,South Africa,Cape Town,Western Cape Province,clear,clear,False,False,False,False
34-9,2013-07-08 07:14:00,2013-07-08,Tunisia,المنستير,المنستير,hazy,clear,False,False,False,False
34-9,2013-07-08 07:14:00,2013-07-08,United Kingdom,Liverpool,Merseyside,hazy,totally cloudy,False,False,False,False
34-9,2013-07-08 07:14:00,2013-07-08,United States,San Diego,California,clear,clear,False,False,False,False
34-9,2013-07-08 07:14:00,2013-07-08,United States,Blacksburg,Virginia,hazy,partly cloudy,False,False,False,False
34-9,2013-07-08 07:14:00,2013-07-09,Algeria,Ghardaia,Ghardaia,clear,partly cloudy,True,True,False,False
34-9,2013-07-08 07:14:00,2013-07-09,Algeria,BARIKA,BATNA,hazy,clear,False,False,False,False
34-9,2013-07-08 07:14:00,2013-07-09,Germany,Munich,Bavaria,very hazy,partly cloudy,False,False,False,True
34-9,2013-07-08 07:14:00,2013-07-09,Ghana,Accra,Greater Accra Region,hazy,partly cloudy,True,False,False,False
34-9,2013-07-08 07:14:00,2013-07-09,Indonesia,Medan,Sumatera utara,hazy,totally cloudy,False,False,False,False
34-9,2013-07-08 07:14:00,2013-07-09,Indonesia,Surakarta,Central Java,hazy,totally cloudy,False,False,False,False
34-9,2013-07-08 07:14:00,2013-07-09,Iran,saravan,balochistan,very hazy,clear,False,False,False,False
34-9,2013-07-08 07:14:00,2013-07-09,Iran,Bojnord,Khorasan,hazy,partly cloudy,False,False,True,False
34-9,2013-07-08 07:14:00,2013-07-09,Jordan,Amman,Amman,clear,clear,False,True,False,False
34-9,2013-07-08 07:14:00,2013-07-09,Jordan,عمّان,عمّان,superb,clear,True,False,False,False
34-9,2013-07-08 07:14:00,2013-07-09,Libya,البريقة,اجدابيا,clear,clear,False,False,False,True
34-9,2013-07-08 07:14:00,2013-07-09,Malaysia,Tanjung Bidara,Melaka,hazy,partly cloudy,False,True,False,False
34-9,2013-07-08 07:14:00,2013-07-09,Nigeria,Bauchi,Bauchi,clear,totally cloudy,False,False,False,False
34-9,2013-07-08 07:14:00,2013-07-09,Nigeria,Kaduna,Kaduna,clear,partly cloudy,True,False,False,False
34-9,2013-07-08 07:14:00,2013-07-09,Nigeria,kaduna,kaduna,clear,partly cloudy,False,False,False,False
34-9,2013-07-08 07:14:00,2013-07-09,Nigeria,Ilorin,Kwara,clear,clear,False,False,False,False
34-9,2013-07-08 07:14:00,2013-07-09,Pakistan,karachi,sindh,very hazy,partly cloudy,False,False,False,False
34-9,2013-07-08 07:14:00,2013-07-09,Philippines,"Bongao, Sanga-Sanga",Tawi-Tawi,clear,clear,True,False,False,False
34-9,2013-07-08 07:14:00,2013-07-09,Saudi Arabia,Buraydah,Algaseem,hazy,partly cloudy,False,False,False,False
34-9,2013-07-08 07:14:00,2013-07-09,Senegal,Kedougou,Senegal,hazy,partly cloudy,True,False,False,False
34-9,2013-07-08 07:14:00,2013-07-09,Tanzania,Daressalaam,Tanzania,hazy,partly cloudy,True,True,False,False
34-9,2013-07-08 07:14:00,2013-07-09,Tunisia,المنستير,المنستير,very hazy,partly cloudy,False,False,False,False
34-9,2013-07-08 07:14:00,2013-07-09,United States,Blacksburg,Virginia,hazy,partly cloudy,False,True,False,False
34-10,2013-08-06 21:51:00,2013-08-07,Algeria,BARIKA,BATNA,very hazy,partly cloudy,False,False,False,False
34-10,2013-08-06 21:51:00,2013-08-07,Algeria,Ghardaia,Ghardaia,clear,clear,False,False,False,False
34-10,2013-08-06 21:51:00,2013-08-07,Australia,Sydney,NSW,hazy,totally cloudy,False,False,False,False
34-10,2013-08-06 21:51:00,2013-08-07,Brunei Darussalam,Bandar Seri Begawan,Brunei,clear,partly cloudy,False,False,False,False
34-10,2013-08-06 21:51:00,2013-08-07,Brunei Darussalam,Bandar Seri Begawan,Brunei,clear,totally cloudy,False,False,False,False
34-10,2013-08-06 21:51:00,2013-08-07,Germany,Munich,Bavaria,very hazy,partly cloudy,False,False,False,True
34-10,2013-08-06 21:51:00,2013-08-07,Germany,Marburg,Hessen,clear,partly cloudy,False,False,False,False
34-10,2013-08-06 21:51:00,2013-08-07,Indonesia,Surakarta,Central Java,clear,clear,False,False,False,True
34-10,2013-08-06 21:51:00,2013-08-07,Iran,"North Tehran,Dizin",Tehran,clear,clear,False,False,True,False
34-10,2013-08-06 21:51:00,2013-08-07,Iran,Ardakan,Yazd,clear,clear,False,False,True,False
34-10,2013-08-06 21:51:00,2013-08-07,Jordan,Amman,Amman,clear,clear,False,False,False,True
34-10,2013-08-06 21:51:00,2013-08-07,Kuwait,الكويت,العاصمة,superb,clear,False,False,False,False
34-10,2013-08-06 21:51:00,2013-08-07,Malaysia,Tanjung Bidara,Melaka,hazy,totally cloudy,False,False,False,False
34-10,2013-08-06 21:51:00,2013-08-07,Nigeria,kaduna,kaduna,clear,totally cloudy,False,False,False,False
34-10,2013-08-06 21:51:00,2013-08-07,Nigeria,Bauchi,Bauchi,clear,partly cloudy,False,False,False,False
34-10,2013-08-06 21:51:00,2013-08-07,Nigeria,Ilorin,Kwara State,clear,partly cloudy,False,False,False,False
34-10,2013-08-06 21:51:00,2013-08-07,Nigeria,Abuja,FCT,hazy,totally cloudy,False,False,False,False
34-10,2013-08-06 21:51:00,2013-08-07,Nigeria,Bauchi,Bauchi,hazy,partly cloudy,False,False,False,False
34-10,2013-08-06 21:51:00,2013-08-07,Oman,Al-Fulaij Observatory,Muscat,very hazy,partly cloudy,False,False,False,False
34-10,2013-08-06 21:51:00,2013-08-07,Saudi Arabia,رابغ,رابغ,hazy,partly cloudy,False,False,False,False
34-10,2013-08-06 21:51:00,2013-08-07,Saudi Arabia,Boraydah,Al gaseem,superb,clear,False,False,False,False
34-10,2013-08-06 21:51:00,2013-08-07,Senegal,Dakar,Senegal,very hazy,totally cloudy,False,False,False,False
34-10,2013-08-06 21:51:00,2013-08-07,South Africa,Cape Town,Western Cape,hazy,partly cloudy,False,False,False,False
34-10,2013-08-06 21:51:00,2013-08-07,Tunisia,المنستير,المنستير,clear,clear,False,False,False,False
34-10,2013-08-06 21:51:00,2013-08-07,Tunisia,المنستير,المنستير,clear,clear,False,False,False,False
34-10,2013-08-06 21:51:00,2013-08-07,United Kingdom,"Moor Road, Anglezarke, Chorley, PR6 9DQ",Lancashire,superb,clear,False,False,False,False
34-10,2013-08-06 21:51:00,2013-08-07,United Kingdom,York,North Yorkshire,hazy,totally cloudy,False,False,False,False
34-10,2013-08-06 21:51:00,2013-08-07,United States,Blacksburg,Virginia,hazy,totally cloudy,False,False,False,False
34-10,2013-08-06 21:51:00,2013-08-07,United States,Tucson,Arizona,hazy,partly cloudy,False,False,False,False
34-10,2013-08-06 21:51:00,2013-08-08,Algeria,Ghardaia,Ghardaia,clear,clear,True,True,False,False
34-10,2013-08-06 21:51:00,2013-08-08,Germany,Marburg,Hessen,clear,totally cloudy,False,False,False,False
34-10,2013-08-06 21:51:00,2013-08-08,Ghana,Accra,Greater Accra Region,superb,partly cloudy,True,False,False,False
34-10,2013-08-06 21:51:00,2013-08-08,India,Mumbai,Maharashtra,hazy,partly cloudy,True,False,False,False
34-10,2013-08-06 21:51:00,2013-08-08,Indonesia,Surakarta,Central Java,clear,partly cloudy,True,True,False,False
34-10,2013-08-06 21:51:00,2013-08-08,Iran,"Tehran, Milad Tower",Tehran,clear,clear,False,False,True,False
34-10,2013-08-06 21:51:00,2013-08-08,Kuwait,الكويت,العاصمة,hazy,partly cloudy,False,False,False,False
34-10,2013-08-06 21:51:00,2013-08-08,Libya,البريقة,اجدابيا,hazy,clear,False,True,False,False
34-10,2013-08-06 21:51:00,2013-08-08,Nigeria,Bauchi,Bauchi,clear,totally cloudy,True,False,False,False
34-10,2013-08-06 21:51:00,2013-08-08,Nigeria,Ilorin,Kwara State,clear,partly cloudy,True,False,False,False
34-10,2013-08-06 21:51:00,2013-08-08,Nigeria,kaduna,kaduna,clear,partly cloudy,True,False,False,False
34-11,2013-09-05 11:36:00,2013-09-06,Algeria,القرارة,غرداية,clear,clear,False,False,False,False
34-11,2013-09-05 11:36:00,2013-09-06,Germany,Bodenmais,Bavaria,clear,partly cloudy,False,False,False,True
34-11,2013-09-05 11:36:00,2013-09-06,Ghana,Accra,Gt Accra,clear,clear,False,False,False,False
34-11,2013-09-05 11:36:00,2013-09-06,Indonesia,Surakarta,Central Java,clear,partly cloudy,True,True,True,True
34-11,2013-09-05 11:36:00,2013-09-06,Iran,Mashhad,Khorasan,clear,clear,False,False,True,False
34-11,2013-09-05 11:36:00,2013-09-06,Iran,Esfahan,Esfahan,very hazy,partly cloudy,False,False,False,False
34-11,2013-09-05 11:36:00,2013-09-06,Libya,البريقة,اجدابيا,clear,partly cloudy,False,False,False,False
34-11,2013-09-05 11:36:00,2013-09-06,Malaysia,Pantai Klebang,Melaka,very hazy,totally cloudy,False,False,False,False
34-11,2013-09-05 11:36:00,2013-09-06,Nigeria,kaduna,kaduna,clear,totally cloudy,False,False,False,False
34-11,2013-09-05 11:36:00,2013-09-06,Oman,Muscat,Muscat,very hazy,partly cloudy,False,False,False,True
34-11,2013-09-05 11:36:00,2013-09-06,Saudi Arabia,Buraydah,Al gaseem,very hazy,clear,False,False,False,False
34-11,2013-09-05 11:36:00,2013-09-06,Saudi Arabia,مكه المكرمة,رابغ,clear,partly cloudy,False,False,False,False
34-11,2013-09-05 11:36:00,2013-09-06,South Africa,Cape Town,Western Cape,superb,clear,True,True,True,False
34-11,2013-09-05 11:36:00,2013-09-06,Sri Lanka,Borella,Colombo 00800,very hazy,totally cloudy,False,False,False,False
34-11,2013-09-05 11:36:00,2013-09-06,Tunisia,المنستير,المنستير,clear,clear,False,False,False,False
34-11,2013-09-05 11:36:00,2013-09-06,United Kingdom,York,North Yorkshire,hazy,totally cloudy,False,False,False,False
34-11,2013-09-05 11:36:00,2013-09-06,United States,Blacksburg,Virginia,very hazy,partly cloudy,False,False,False,False
34-12,2013-10-05 00:35:00,2013-10-05,Algeria,Ghardaia,Ghardaia,hazy,partly cloudy,False,False,False,False
34-12,2013-10-05 00:35:00,2013-10-05,Brunei Darussalam,Bandar Seri Begawan,Brunei,clear,clear,False,False,False,False
34-12,2013-10-05 00:35:00,2013-10-05,Egypt,بنها,القليوبية,clear,partly cloudy,False,False,False,False
34-12,2013-10-05 00:35:00,2013-10-05,Egypt,بنها,القليوبية,clear,partly cloudy,False,False,False,False
34-12,2013-10-05 00:35:00,2013-10-05,Indonesia,Surakarta,Central Java,clear,clear,False,False,False,False
34-12,2013-10-05 00:35:00,2013-10-05,Libya,البريقة,اجدابيا,superb,clear,False,False,False,False
34-12,2013-10-05 00:35:00,2013-10-05,Oman,Al-Fulaij Observatory,Muscat,clear,clear,False,False,False,False
34-12,2013-10-05 00:35:00,2013-10-05,Saudi Arabia,Al bosor Near Buraydah,Algasseem,clear,clear,False,False,False,False
34-12,2013-10-05 00:35:00,2013-10-05,South Africa,Cape Town,Western Cape,hazy,partly cloudy,False,False,False,False
34-12,2013-10-05 00:35:00,2013-10-05,South Africa,Cape Town,Western Cape,hazy,partly cloudy,False,False,False,False
34-12,2013-10-05 00:35:00,2013-10-05,Sri Lanka,colombo,western province,hazy,partly cloudy,False,False,False,False
34-12,2013-10-05 00:35:00,2013-10-05,United Kingdom,York,North Yorkshire,hazy,totally cloudy,False,False,False,False
34-12,2013-10-05 00:35:00,2013-10-05,United States,McDonald Obs,TX,clear,clear,False,False,False,False
34-12,2013-10-05 00:35:00,2013-10-06,Bahrain,مدينة عيسى,الوسطى,clear,clear,True,True,True,False
34-12,2013-10-05 00:35:00,2013-10-06,Germany,Munich,Bavaria,clear,partly cloudy,False,False,True,True
34-12,2013-10-05 00:35:00,2013-10-06,Ghana,Accra,Greater Accra,superb,clear,True,False,False,False
34-12,2013-10-05 00:35:00,2013-10-06,Indonesia,Surakarta,Central Java,clear,partly cloudy,True,True,False,False
34-12,2013-10-05 00:35:00,2013-10-06,Indonesia,Surakarta,Central Java,clear,partly cloudy,True,True,True,False
34-12,2013-10-05 00:35:00,2013-10-06,Iran,Esfahan,Esfahan,clear,clear,True,True,False,False
34-12,2013-10-05 00:35:00,2013-10-06,Iran,Bojnord,Khorasan,very hazy,clear,False,False,True,False
34-12,2013-10-05 00:35:00,2013-10-06,Libya,البريقة,اجدابيا,superb,clear,True,False,False,False
34-12,2013-10-05 00:35:00,2013-10-06,Libya,طرابلس,حي الأندلس,clear,partly cloudy,True,True,True,True
34-12,2013-10-05 00:35:00,2013-10-06,Malaysia,Jasin,Melaka,hazy,partly cloudy,True,False,True,False
34-12,2013-10-05 00:35:00,2013-10-06,Nigeria,kaduna,kaduna,clear,totally cloudy,False,False,False,False
34-12,2013-10-05 00:35:00,2013-10-06,Saudi Arabia,"Albosor,near Buraydah",Al Gasseem,hazy,clear,True,True,True,False
34-12,2013-10-05 00:35:00,2013-10-06,Senegal,Dakar,Senegal,superb,clear,True,False,False,False
34-12,2013-10-05 00:35:00,2013-10-06,Sri Lanka,Borella,Colombo 00800,clear,partly cloudy,True,False,False,False
34-12,2013-10-05 00:35:00,2013-10-06,Sri Lanka,Colombo,Western,clear,partly cloudy,True,False,False,False
34-12,2013-10-05 00:35:00,2013-10-06,Tunisia,المنستير,المنستير,very hazy,totally cloudy,False,False,False,False
34-12,2013-10-05 00:35:00,2013-10-06,United States,Blacksburg,Virginia,very hazy,partly cloudy,True,True,False,False
35-1,2013-11-03 12:50:00,2013-11-03,Oman,Al-Fulaij Observatory,Muscat,hazy,partly cloudy,False,False,False,False
35-1,2013-11-03 12:50:00,2013-11-03,Saudi Arabia,بريدة,البصر,superb,partly cloudy,False,False,False,False
35-1,2013-11-03 12:50:00,2013-11-03,Saudi Arabia,مكة المكرمة _رابغ,رابغ,clear,clear,False,False,False,False
35-1,2013-11-03 12:50:00,2013-11-03,Tunisia,المنستير,المنستير,clear,clear,False,False,False,False
35-1,2013-11-03 12:50:00,2013-11-03,United States,Tucson,Arizona,superb,clear,False,False,False,False
35-1,2013-11-03 12:50:00,2013-11-04,Algeria,بئر ربعة شمال,بلدية البرمة، ولاية ورقلة,superb,clear,False,False,False,False
35-1,2013-11-03 12:50:00,2013-11-04,Algeria,بريان,غرداية,hazy,partly cloudy,False,False,False,False
35-1,2013-11-03 12:50:00,2013-11-04,Indonesia,Surakarta,Central Java,superb,totally cloudy,False,False,False,False
35-1,2013-11-03 12:50:00,2013-11-04,Iran,Esfahan,Esfahan,clear,partly cloudy,True,True,False,False
35-1,2013-11-03 12:50:00,2013-11-04,Iran,Shahreza,isfahan,hazy,partly cloudy,True,True,False,False
35-1,2013-11-03 12:50:00,2013-11-04,Iran,saravan,balochistan,clear,partly cloudy,False,True,False,False
35-1,2013-11-03 12:50:00,2013-11-04,Libya,البريقة,اجدابيا,clear,clear,False,True,False,False
35-1,2013-11-03 12:50:00,2013-11-04,Morocco,نواحي مراكش,مراكش,clear,partly cloudy,True,False,False,False
35-1,2013-11-03 12:50:00,2013-11-04,Nigeria,kaduna,kaduna,hazy,clear,True,False,False,False
35-1,2013-11-03 12:50:00,2013-11-04,Oman,مرتفعات المطار,مسقط,clear,partly cloudy,False,False,True,False
35-1,2013-11-03 12:50:00,2013-11-04,Saudi Arabia,Boraydah,Gaseem,hazy,partly cloudy,False,False,False,False
35-1,2013-11-03 12:50:00,2013-11-04,Sri Lanka,Borella,Colombo 00800,hazy,totally cloudy,False,False,False,False
35-1,2013-11-03 12:50:00,2013-11-04,Tunisia,المنستير,المنستير,hazy,partly cloudy,False,False,False,False
35-1,2013-11-03 12:50:00,2013-11-04,United Arab Emirates,Musaffah,Abu Dhabi,clear,clear,False,False,False,False
35-1,2013-11-03 12:50:00,2013-11-04,United Kingdom,York,North Yorkshire,hazy,totally cloudy,False,False,False,False
