Index,Date,Latitude,Longitude,Moon Age,Sunset,Moonset,Lag,Moon Alt,Moon Az,Sun Alt,Sun Az,Moon-Earth Dist,Sun-Moon Dist,ARCL,ARCV,DAZ,Illumination,Parallax,W,W',q,q',Cloud Level,Seen,Method,Methods,Source
328,2459228.183,52.47214,-2.08212,0.474,2459228.182,2459228.184,3.21667,-0.3732,228.13577,-1.01045,234.89755,0.00251,0.98108,6.79121,0.63725,6.76178,0.00351,58.31438,0.11147,0.11146,-1.0504,-1.05041,1,Not_seen,Not_seen,Not_seen,ICOUK
329,2459228.2,50.10319,-5.27045,0.491,2459228.198,2459228.203,6.95,-0.11115,230.35685,-1.24794,237.19116,0.00251,0.98108,6.92762,1.13679,6.8343,0.00365,58.30436,0.11597,0.11597,-0.99768,-0.99768,1,Not_seen,Not_seen,Not_seen,ICOUK
330,2459228.174,53.95763,-1.08271,0.466,2459228.174,2459228.174,0.7,-0.5281,226.53286,-0.87073,233.25621,0.00251,0.98108,6.73156,0.34263,6.72335,0.00345,58.31868,0.10953,0.10952,-1.08106,-1.08107,1,Not_seen,Not_seen,Not_seen,ICOUK
331,2459229.204,53.75,-2.48333,1.495,2459229.18,2459229.234,78.53333,3.99465,224.0338,-5.16481,240.64955,0.00254,0.98123,18.95682,9.15947,16.61575,0.02712,57.46956,0.84921,0.8502,0.22261,0.22313,0.5,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,ICOUK
332,2459258.231,52.48142,-1.89983,0.935,2459258.219,2459258.246,39.51667,2.28332,241.76737,-3.34868,252.16322,0.0026,0.98474,11.81934,5.632,10.39585,0.0106,56.29433,0.32518,0.32539,-0.4223,-0.42218,1,Not_seen,Not_seen,Not_seen,ICOUK
333,2459258.23,53.75,-2.48333,0.935,2459258.218,2459258.245,38.96667,2.14031,240.9789,-3.23162,251.52301,0.0026,0.98474,11.8298,5.37193,10.5441,0.01062,56.30026,0.32579,0.32599,-0.44795,-0.44783,0.5,Not_seen,Not_seen,Not_seen,ICOUK
334,2459258.23,53.58333,-2.43333,0.935,2459258.218,2459258.245,39.05,2.15988,241.08536,-3.24731,251.6109,0.0026,0.98474,11.8293,5.40719,10.52554,0.01062,56.29942,0.32575,0.32596,-0.44444,-0.44433,0.5,Not_seen,Not_seen,Not_seen,ICOUK
335,2459258.23,53.58333,-2.43333,0.935,2459258.218,2459258.245,39.05,2.15988,241.08536,-3.24731,251.6109,0.0026,0.98474,11.8293,5.40719,10.52554,0.01062,56.29942,0.32575,0.32596,-0.44444,-0.44433,0.5,Not_seen,Not_seen,Not_seen,ICOUK
336,2459258.226,51.62127,0.30556,0.931,2459258.214,2459258.242,39.48333,2.34983,242.27205,-3.40259,252.52998,0.0026,0.98474,11.75662,5.75242,10.25793,0.01049,56.29437,0.32175,0.32196,-0.41228,-0.41215,0.5,Not_seen,Not_seen,Not_seen,ICOUK
337,2459258.235,51.45523,-2.59665,0.939,2459258.223,2459258.25,40.16667,2.41319,242.37016,-3.45872,252.6628,0.0026,0.98474,11.84551,5.87191,10.29264,0.01065,56.28682,0.32657,0.3268,-0.39749,-0.39736,0,Not_seen,Not_seen,Not_seen,ICOUK
