hijri_month,conj,date,country,city,state,atmosphere,sky,y_eye,y_bino,y_tele,y_ccd
31-Mar,14/02/2010 02:51,14/02/2010,Tanzania,Zanzibar,Zanzibar City,superb,clear,FALSE,FALSE,FALSE,FALSE
31-Mar,14/02/2010 02:51,14/02/2010,United Kingdom,York,North Yorkshire,hazy,partly cloudy,FALSE,FALSE,FALSE,FALSE
31-Mar,14/02/2010 02:51,14/02/2010,United States,Blacksburg,Virginia,hazy,partly cloudy,FALSE,FALSE,FALSE,FALSE
31-Mar,14/02/2010 02:51,15/02/2010,Algeria,Ghardaia,Ghardaia,very hazy,totally cloudy,FALSE,FALSE,FALSE,FALSE
31-Mar,14/02/2010 02:51,15/02/2010,Bangladesh,Sunamgonj,Sunamgonj,clear,clear,TRUE,FALSE,FALSE,FALSE
31-Mar,14/02/2010 02:51,15/02/2010,Germany,Moerlenbach,Hessen,hazy,totally cloudy,FALSE,FALSE,FALSE,FALSE
31-Mar,14/02/2010 02:51,15/02/2010,Japan,Tsukuba,Ibaraki,very hazy,totally cloudy,FALSE,FALSE,FALSE,FALSE
31-Mar,14/02/2010 02:51,15/02/2010,Jordan,عمان,عمان,hazy,partly cloudy,TRUE,TRUE,FALSE,FALSE
31-Mar,14/02/2010 02:51,15/02/2010,Malaysia,Tanjung Bidara,Melaka,hazy,partly cloudy,TRUE,FALSE,TRUE,FALSE
31-Mar,14/02/2010 02:51,15/02/2010,Nigeria,KADUNA,KADUNA,clear,clear,TRUE,TRUE,FALSE,FALSE
31-Mar,14/02/2010 02:51,15/02/2010,Pakistan,Karachi,Sindh,clear,clear,TRUE,FALSE,FALSE,FALSE
31-Mar,14/02/2010 02:51,15/02/2010,Saudi Arabia,الدمام,المنطقة الشرقية,clear,partly cloudy,TRUE,FALSE,FALSE,FALSE
31-Mar,14/02/2010 02:51,15/02/2010,Somalia,Garoowe,Puntland State,hazy,clear,TRUE,FALSE,FALSE,FALSE
31-Mar,14/02/2010 02:51,15/02/2010,United States,Blacksburg,VA,hazy,partly cloudy,TRUE,TRUE,FALSE,FALSE
