Index,Date,Latitude,Longitude,Moon Age,Sunset,Moonset,Lag,Moon Alt,Moon Az,Sun Alt,Sun Az,Moon-Earth Dist,Sun-Moon Dist,ARCL,ARCV,DAZ,Illumination,Parallax,W,W',q,q',Cloud Level,Seen,Method,Methods,Source
1360,2457575.311,48.13711,11.57538,1.352,2457575.303,2457575.322,28.3,1.77542,291.74483,-2.49466,308.82128,0.00252,1.01434,17.59806,4.27008,17.07645,0.0234,58.03902,0.74002,0.74041,-0.32477,-0.32456,0.75,Seen,Seen_binoculars,Seen_binoculars;Seen_telescope;Seen_ccd,ICOP
1361,2457575.311,48.13711,11.57538,1.352,2457575.303,2457575.322,28.3,1.77542,291.74483,-2.49466,308.82128,0.00252,1.01434,17.59806,4.27008,17.07645,0.0234,58.03902,0.74002,0.74041,-0.32477,-0.32456,0,Not_seen,Seen_ccd,Seen_ccd,ICOP
1362,2457575.286,45.90201,18.65989,1.327,2457575.276,2457575.298,30.78333,2.10783,290.64086,-2.76023,307.19231,0.00252,1.01434,17.24746,4.86807,16.55146,0.02248,58.04612,0.71114,0.71158,-0.28063,-0.28039,0.75,Seen,Seen_binoculars,Seen_binoculars;Seen_telescope;Seen_ccd,ICOP
1363,2457574.955,-7.56925,110.82845,0.996,2457574.939,2457574.975,51.38333,5.919,288.35468,-6.06039,292.18691,0.00251,1.01431,12.5753,11.97939,3.83223,0.01199,58.01127,0.37915,0.37981,0.24399,0.24437,0.75,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,ICOP
1364,2457574.955,-7.56925,110.82845,0.996,2457574.939,2457574.975,51.38333,5.919,288.35468,-6.06039,292.18691,0.00251,1.01431,12.5753,11.97939,3.83223,0.01199,58.01127,0.37915,0.37981,0.24399,0.24437,0,Not_seen,Seen_ccd,Seen_ccd,ICOP
1365,2457575.167,32.0116,51.86517,1.208,2457575.154,2457575.182,40.43333,3.81026,286.73898,-4.16913,300.11553,0.00252,1.01433,15.56636,7.97939,13.37655,0.01834,58.04307,0.58005,0.5807,-0.04167,-0.04131,0,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,ICOP
1366,2457575.167,32.0116,51.86517,1.208,2457575.154,2457575.182,40.43333,3.81026,286.73898,-4.16913,300.11553,0.00252,1.01433,15.56636,7.97939,13.37655,0.01834,58.04307,0.58005,0.5807,-0.04167,-0.04131,0,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,ICOP
1367,2457575.176,30.49524,47.8091,1.217,2457575.163,2457575.192,42.08333,4.07071,286.42126,-4.37935,299.61146,0.00252,1.01433,15.65464,8.45005,13.1902,0.01855,58.01827,0.58635,0.58706,0.00891,0.0093,0,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,ICOP
1368,2457575.208,30.21812,36.49296,1.249,2457575.194,2457575.224,43.83333,4.28248,286.20326,-4.53831,299.60463,0.00252,1.01433,16.03269,8.82079,13.40138,0.01945,57.97995,0.61442,0.6152,0.06157,0.062,0,Not_seen,Not_seen,Not_seen,ICOP
1369,2457575.172,24.85462,46.62611,1.213,2457575.158,2457575.19,45.96667,4.78584,285.76089,-4.97222,297.8442,0.00252,1.01433,15.52006,9.75805,12.08331,0.01823,57.9653,0.57585,0.57666,0.13386,0.13431,0.75,Not_seen,Seen_ccd,Seen_ccd,ICOP
