Index,Date,Latitude,Longitude,Moon Age,Sunset,Moonset,Lag,Moon Alt,Moon Az,Sun Alt,Sun Az,Moon-Earth Dist,Sun-Moon Dist,ARCL,ARCV,DAZ,Illumination,Parallax,W,W',q,q',Seen
0,2460025.76139,-60.0,-180.0,0.537,2460025.75689,2460025.76701,14.58333,0.44362,275.15577,-1.64555,268.23592,0.00246,0.99382,7.22761,2.08917,-6.91984,0.00397,59.60804,0.12904,0.12906,-0.8944,-0.89439,N
1,2460026.73472,-60.0,-170.76923,1.51,2460026.72919,2460026.74163,17.91667,0.61972,288.51541,-1.82981,268.68575,0.00249,0.9942,19.97778,2.44953,-19.82967,0.03009,58.92303,0.96602,0.9662,-0.3871,-0.38701,N
2,2460026.70911,-60.0,-161.53846,1.485,2460026.70361,2460026.71598,17.81667,0.6152,288.16688,-1.82576,268.67253,0.00249,0.99419,19.64401,2.44096,-19.49434,0.0291,58.94283,0.93464,0.93481,-0.4043,-0.40421,N
3,2460026.68349,-60.0,-152.30769,1.459,2460026.67802,2460026.69034,17.73333,0.61174,287.82002,-1.82054,268.66132,0.00249,0.99417,19.30998,2.43228,-19.1587,0.02813,58.96254,0.90373,0.90389,-0.42135,-0.42127,N
4,2460026.65788,-60.0,-143.07692,1.433,2460026.65243,2460026.66469,17.65,0.60824,287.4729,-1.81533,268.6501,0.00248,0.99416,18.97575,2.42357,-18.8228,0.02717,58.98216,0.87329,0.87345,-0.43825,-0.43816,N
5,2460026.63227,-60.0,-133.84615,1.408,2460026.62685,2460026.63904,17.55,0.60359,287.12361,-1.81127,268.63688,0.00248,0.99415,18.6414,2.41486,-18.48673,0.02623,59.00171,0.84333,0.84349,-0.45497,-0.45489,N
6,2460026.60665,-60.0,-124.61538,1.382,2460026.60126,2460026.61339,17.46667,0.60001,286.77601,-1.80605,268.62567,0.00248,0.99414,18.30679,2.40606,-18.15034,0.02531,59.02117,0.81385,0.814,-0.47153,-0.47145,N
7,2460026.58104,-60.0,-115.38462,1.357,2460026.57567,2460026.58774,17.38333,0.59638,286.42815,-1.80083,268.61445,0.00248,0.99413,17.972,2.39722,-17.8137,0.0244,59.04055,0.78486,0.785,-0.48792,-0.48784,N
8,2460026.55542,-60.0,-106.15385,1.331,2460026.55008,2460026.56209,17.3,0.59272,286.08005,-1.79561,268.60323,0.00248,0.99412,17.63704,2.38833,-17.47682,0.0235,59.05983,0.75635,0.75648,-0.50413,-0.50406,N
9,2460026.52981,-60.0,-96.92308,1.305,2460026.5245,2460026.53645,17.2,0.58789,285.72977,-1.79155,268.59,0.00248,0.99411,17.30198,2.37944,-17.13977,0.02262,59.07904,0.72834,0.72847,-0.52016,-0.52009,N
10,2460026.50419,-60.0,-87.69231,1.28,2460026.49891,2460026.5108,17.11667,0.58414,285.38118,-1.78633,268.57878,0.00248,0.9941,16.96668,2.37047,-16.8024,0.02176,59.09815,0.70081,0.70094,-0.53601,-0.53594,N
11,2460026.47858,-60.0,-78.46154,1.254,2460026.47332,2460026.48515,17.03333,0.58034,285.03235,-1.78111,268.56756,0.00248,0.99409,16.63121,2.36145,-16.46479,0.02092,59.11717,0.67379,0.6739,-0.55167,-0.55161,N
12,2460026.45296,-60.0,-69.23077,1.229,2460026.44773,2460026.4595,16.95,0.5765,284.68328,-1.77588,268.55634,0.00248,0.99408,16.2956,2.35238,-16.12694,0.02009,59.13609,0.64725,0.64737,-0.56714,-0.56708,N
13,2460026.42735,-60.0,-60.0,1.203,2460026.42215,2460026.43385,16.85,0.57148,284.33204,-1.77182,268.54312,0.00248,0.99407,15.95992,2.34331,-15.78893,0.01927,59.15493,0.62123,0.62134,-0.5824,-0.58235,N
14,2460026.40174,-60.0,-50.76923,1.177,2460026.39656,2460026.40821,16.76667,0.56754,283.9825,-1.7666,268.5319,0.00248,0.99406,15.62402,2.33415,-15.4506,0.01848,59.17367,0.59571,0.59581,-0.59747,-0.59742,N
15,2460026.37612,-60.0,-41.53846,1.152,2460026.37097,2460026.38256,16.68333,0.56356,283.63271,-1.76138,268.52068,0.00248,0.99405,15.28798,2.32494,-15.11203,0.01769,59.19231,0.57069,0.57079,-0.61234,-0.61228,N
16,2460026.35051,-60.0,-32.30769,1.126,2460026.34539,2460026.35691,16.58333,0.5584,283.28077,-1.75733,268.50745,0.00248,0.99403,14.95191,2.31572,-14.77331,0.01693,59.21087,0.54619,0.54628,-0.62698,-0.62693,N
17,2460026.3249,-60.0,-23.07692,1.1,2460026.3198,2460026.33126,16.5,0.55431,282.93052,-1.75211,268.49624,0.00247,0.99402,14.61564,2.30642,-14.43428,0.01618,59.22932,0.52219,0.52228,-0.64142,-0.64137,N
18,2460026.29928,-60.0,-13.84615,1.075,2460026.29421,2460026.30561,16.41667,0.55018,282.58004,-1.7469,268.48502,0.00247,0.99401,14.27927,2.29708,-14.09502,0.01545,59.24766,0.49871,0.49879,-0.65563,-0.65558,N
19,2460026.27366,-60.0,-4.61538,1.049,2460026.26862,2460026.27997,16.33333,0.54599,282.22933,-1.74169,268.4738,0.00247,0.994,13.94281,2.28768,-13.75552,0.01473,59.26591,0.47574,0.47582,-0.66962,-0.66957,N
20,2460026.24805,-60.0,4.61538,1.024,2460026.24304,2460026.25432,16.23333,0.54062,281.87646,-1.73764,268.46059,0.00247,0.99399,13.60635,2.27827,-13.41587,0.01403,59.28407,0.45331,0.45338,-0.68337,-0.68333,N
21,2460026.22244,-60.0,13.84615,0.998,2460026.21745,2460026.22867,16.15,0.53634,281.52529,-1.73244,268.44937,0.00247,0.99398,13.26974,2.26877,-13.07592,0.01335,59.30211,0.43138,0.43145,-0.69689,-0.69685,N
22,2460026.19682,-60.0,23.07692,0.972,2460026.19186,2460026.20302,16.06667,0.532,281.1739,-1.72723,268.43816,0.00247,0.99398,12.93307,2.25923,-12.73574,0.01268,59.32005,0.40999,0.41005,-0.71017,-0.71013,N
23,2460026.17121,-60.0,32.30769,0.947,2460026.16627,2460026.17737,15.98333,0.52761,280.82228,-1.72203,268.42695,0.00247,0.99397,12.59637,2.24964,-12.39533,0.01203,59.33789,0.38912,0.38918,-0.7232,-0.72317,N
24,2460026.1456,-60.0,41.53846,0.921,2460026.14069,2460026.15172,15.88333,0.52204,280.46851,-1.71799,268.41373,0.00247,0.99396,12.25973,2.24002,-12.05478,0.0114,59.35562,0.36879,0.36885,-0.73598,-0.73595,N
25,2460026.11999,-60.0,50.76923,0.896,2460026.1151,2460026.12609,15.81667,0.51663,280.11491,-1.71372,268.40092,0.00247,0.99395,11.92307,2.23035,-11.71399,0.01079,59.37325,0.34899,0.34904,-0.7485,-0.74847,N
26,2460026.09437,-60.0,60.0,0.87,2460026.08951,2460026.10044,15.73333,0.51209,279.76263,-1.70852,268.38971,0.00247,0.99394,11.58637,2.22061,-11.37292,0.01019,59.39076,0.32972,0.32977,-0.76077,-0.76074,N
27,2460026.06875,-60.0,69.23077,0.844,2460026.06392,2460026.07479,15.65,0.50749,279.41012,-1.70332,268.3785,0.00247,0.99393,11.24971,2.21081,-11.03162,0.00961,59.40816,0.31099,0.31104,-0.77278,-0.77275,N
28,2460026.04314,-60.0,78.46154,0.819,2460026.03834,2460026.04914,15.55,0.5017,279.05548,-1.69929,268.36529,0.00247,0.99392,10.9132,2.20099,-10.69019,0.00904,59.42546,0.2928,0.29285,-0.7845,-0.78448,N
29,2460026.01753,-60.0,87.69231,0.793,2460026.01275,2460026.0235,15.46667,0.497,278.70254,-1.69409,268.35408,0.00247,0.99391,10.57671,2.19109,-10.34846,0.00849,59.44264,0.27515,0.2752,-0.79596,-0.79594,N
30,2460025.99191,-60.0,96.92308,0.768,2460025.98716,2460025.99785,15.38333,0.49224,278.34938,-1.6889,268.34287,0.00247,0.9939,10.24035,2.18114,-10.00652,0.00796,59.4597,0.25805,0.25809,-0.80714,-0.80712,N
31,2460025.9663,-60.0,106.15385,0.742,2460025.96159,2460025.9722,15.28333,0.48629,277.99409,-1.68486,268.32965,0.00246,0.99389,9.90424,2.17115,-9.66444,0.00745,59.47666,0.2415,0.24154,-0.81803,-0.81801,N
32,2460025.94069,-60.0,115.38462,0.716,2460025.936,2460025.94655,15.2,0.48143,277.64051,-1.67966,268.31844,0.00246,0.99388,9.56825,2.16109,-9.32207,0.00696,59.4935,0.2255,0.22553,-0.82863,-0.82861,N
33,2460025.91507,-60.0,124.61538,0.691,2460025.91041,2460025.9209,15.11667,0.47652,277.28672,-1.67446,268.30723,0.00246,0.99387,9.23253,2.15098,-8.97949,0.00648,59.51022,0.21004,0.21007,-0.83895,-0.83893,N
34,2460025.88945,-60.0,133.84615,0.665,2460025.88481,2460025.89525,15.03333,0.47156,276.93272,-1.66926,268.29602,0.00246,0.99386,8.89712,2.14082,-8.6367,0.00602,59.52682,0.19514,0.19517,-0.84896,-0.84894,N
35,2460025.86385,-60.0,143.07692,0.639,2460025.85924,2460025.86961,14.93333,0.46539,276.57658,-1.66522,268.2828,0.00246,0.99386,8.56218,2.13061,-8.29379,0.00557,59.54331,0.1808,0.18083,-0.85867,-0.85865,N
36,2460025.83823,-60.0,152.30769,0.614,2460025.83365,2460025.84396,14.85,0.46032,276.22217,-1.66002,268.27158,0.00246,0.99385,8.2276,2.12033,-7.95058,0.00515,59.55967,0.16702,0.16704,-0.86807,-0.86806,N
37,2460025.81261,-60.0,161.53846,0.588,2460025.80806,2460025.81831,14.76667,0.45519,275.86754,-1.65481,268.26037,0.00246,0.99384,7.89356,2.11,-7.60718,0.00474,59.57591,0.15379,0.15382,-0.87717,-0.87715,N
38,2460025.787,-60.0,170.76923,0.563,2460025.78247,2460025.79266,14.68333,0.45001,275.51272,-1.6496,268.24915,0.00246,0.99383,7.56017,2.09961,-7.26357,0.00435,59.59204,0.14113,0.14115,-0.88594,-0.88593,N
39,2460025.76139,-60.0,180.0,0.537,2460025.75689,2460025.76701,14.58333,0.44362,275.15577,-1.64555,268.23592,0.00246,0.99382,7.22761,2.08917,-6.91984,0.00397,59.60804,0.12904,0.12906,-0.8944,-0.89439,N
40,2460025.76176,-56.92308,-180.0,0.537,2460025.75679,2460025.76796,16.08333,0.64576,274.96459,-1.81073,268.21491,0.00246,0.99382,7.18198,2.45649,-6.74968,0.00392,59.60581,0.12741,0.12744,-0.85867,-0.85865,N
41,2460026.73684,-56.92308,-170.76923,1.512,2460026.72932,2460026.74625,24.38333,1.19936,287.79107,-2.31551,268.14517,0.00249,0.9942,19.95388,3.51487,-19.6459,0.03002,58.91193,0.96355,0.9639,-0.28185,-0.28167,N
42,2460026.71117,-56.92308,-161.53846,1.487,2460026.70372,2460026.7205,24.16667,1.18735,287.46035,-2.30053,268.1496,0.00249,0.99419,19.61936,3.48787,-19.31075,0.02903,58.93198,0.93215,0.93248,-0.30091,-0.30074,N
43,2460026.68552,-56.92308,-152.30769,1.461,2460026.67812,2460026.69476,23.95,1.17313,287.12602,-2.28783,268.15054,0.00249,0.99417,19.28478,3.46096,-18.97548,0.02806,58.95199,0.90123,0.90155,-0.3198,-0.31963,N
44,2460026.65985,-56.92308,-143.07692,1.435,2460026.65253,2460026.669,23.71667,1.15983,286.79293,-2.27411,268.15303,0.00249,0.99416,18.94995,3.43395,-18.6399,0.0271,58.9719,0.87078,0.87109,-0.33853,-0.33837,N
45,2460026.6342,-56.92308,-133.84615,1.41,2460026.62694,2460026.64326,23.5,1.14553,286.4581,-2.2614,268.15397,0.00248,0.99415,18.61498,3.40694,-18.30413,0.02616,58.99173,0.84082,0.84111,-0.35709,-0.35694,N
46,2460026.60854,-56.92308,-124.61538,1.384,2460026.60135,2460026.61751,23.26667,1.13215,286.12452,-2.24768,268.15645,0.00248,0.99414,18.27977,3.37983,-17.96807,0.02523,59.01147,0.81134,0.81161,-0.37549,-0.37534,N
47,2460026.58287,-56.92308,-115.38462,1.358,2460026.57575,2460026.59177,23.06667,1.11896,285.79106,-2.23371,268.15933,0.00248,0.99413,17.94436,3.35268,-17.63174,0.02432,59.03111,0.78234,0.7826,-0.39372,-0.39358,N
48,2460026.55721,-56.92308,-106.15385,1.333,2460026.55016,2460026.56602,22.83333,1.10549,285.45699,-2.21999,268.16181,0.00248,0.99412,17.60879,3.32548,-17.29518,0.02343,59.05066,0.75383,0.75408,-0.41177,-0.41164,N
49,2460026.53155,-56.92308,-96.92308,1.307,2460026.52457,2460026.54028,22.61667,1.09101,285.12118,-2.20728,268.16274,0.00248,0.99411,17.27311,3.29828,-16.95844,0.02255,59.07014,0.72582,0.72606,-0.42964,-0.42951,N
