Index,Date,Latitude,Longitude,Moon Age,Sunset,Moonset,Lag,Moon Alt,Moon Az,Sun Alt,Sun Az,Moon-Earth Dist,Sun-Moon Dist,ARCL,ARCV,DAZ,Illumination,Parallax,W,W',q,q',Seen,Source
0,2460264.22268,48.0,-8.0,2.329,2460264.20468,2460264.24519,58.33333,2.99023,219.6675,-4.7671,247.39929,0.00253,0.98698,28.77255,7.75733,27.73179,0.06173,57.82317,1.94502,1.94673,0.6198,0.62059,S,GENERATED
1,2460264.22211,48.0,-7.79592,2.328,2460264.20411,2460264.24461,58.31667,2.98834,219.67277,-4.76581,247.39801,0.00253,0.98698,28.7654,7.75415,27.72524,0.0617,57.82302,1.94407,1.94577,0.61904,0.61983,S,GENERATED
2,2460264.22153,48.0,-7.59184,2.328,2460264.20354,2460264.24402,58.28333,2.98723,219.67666,-4.76337,247.39539,0.00253,0.98698,28.7582,7.7506,27.71872,0.06167,57.82283,1.94311,1.94481,0.61825,0.61903,S,GENERATED
3,2460264.22096,48.0,-7.38776,2.327,2460264.20297,2460264.24344,58.26667,2.98534,219.68193,-4.76208,247.3941,0.00253,0.98698,28.75105,7.74742,27.71217,0.06164,57.82267,1.94216,1.94386,0.61749,0.61828,S,GENERATED
4,2460264.22038,48.0,-7.18367,2.326,2460264.20241,2460264.24285,58.23333,2.98422,219.68582,-4.75965,247.39148,0.00253,0.98698,28.74385,7.74387,27.70566,0.06161,57.82248,1.9412,1.9429,0.61669,0.61748,S,GENERATED
5,2460264.2198,48.0,-6.97959,2.326,2460264.20184,2460264.24226,58.2,2.98311,219.68971,-4.75721,247.38886,0.00253,0.98698,28.73665,7.74032,27.69915,0.06158,57.82228,1.94024,1.94194,0.61589,0.61668,S,GENERATED
6,2460264.21923,48.0,-6.77551,2.325,2460264.20127,2460264.24168,58.18333,2.98122,219.69499,-4.75592,247.38757,0.00253,0.98698,28.7295,7.73714,27.69259,0.06155,57.82213,1.93929,1.94099,0.61513,0.61592,S,GENERATED
7,2460264.21865,48.0,-6.57143,2.325,2460264.20071,2460264.24109,58.15,2.98011,219.69888,-4.75348,247.38495,0.00253,0.98698,28.72231,7.73359,27.68608,0.06152,57.82193,1.93833,1.94003,0.61433,0.61512,S,GENERATED
8,2460264.21808,48.0,-6.36735,2.324,2460264.20014,2460264.24051,58.13333,2.97823,219.70415,-4.75219,247.38367,0.00253,0.98698,28.71516,7.73042,27.67952,0.06149,57.82178,1.93739,1.93908,0.61357,0.61436,S,GENERATED
9,2460264.21751,48.0,-6.16327,2.323,2460264.19958,2460264.23992,58.08333,2.97615,219.70976,-4.75119,247.38272,0.00253,0.98698,28.70802,7.72734,27.67295,0.06146,57.82164,1.93644,1.93813,0.61283,0.61361,S,GENERATED
