Index,Date,Latitude,Longitude,Moon Age,Sunset,Moonset,Lag,Moon Alt,Moon Az,Sun Alt,Sun Az,Moon-Earth Dist,Sun-Moon Dist,ARCL,ARCV,DAZ,Illumination,Parallax,W,W',q,q',Seen,Source
0,2460291.911,-60,-180,0.431,2460291.886,2460291.943,81.96667,1.87839,211.60313,-3.22769,207.77032,0.0025,0.98206,6.38363,5.10608,-3.8328,0.0031,58.66083,0.09909,0.09915,-0.61116,-0.61112,N,Generated
1,2460292.905,-60,-170.76923,1.424,2460292.861,2460292.958,139.85,4.20829,218.41427,-4.55638,201.8024,0.00248,0.98209,18.76784,8.76467,-16.61186,0.02658,58.99068,0.85455,0.85562,0.18596,0.18653,S,Generated
2,2460292.879,-60,-161.53846,1.398,2460292.836,2460292.932,138.85,4.14684,218.18248,-4.53579,201.91009,0.00248,0.98209,18.43009,8.68264,-16.27239,0.02564,58.9853,0.82426,0.82528,0.16167,0.16222,S,Generated
3,2460292.853,-60,-152.30769,1.372,2460292.81,2460292.906,137.8,4.08505,217.95215,-4.51485,202.01901,0.00248,0.98209,18.09261,8.5999,-15.93315,0.02472,58.97977,0.79452,0.79549,0.13753,0.13805,S,Generated
4,2460292.827,-60,-143.07692,1.346,2460292.784,2460292.879,136.73333,4.02305,217.72367,-4.49346,202.12957,0.00248,0.98209,17.7554,8.51651,-15.59409,0.02382,58.97407,0.76534,0.76626,0.11353,0.11402,S,Generated
5,2460292.801,-60,-133.84615,1.32,2460292.759,2460292.853,135.65,3.96205,217.50034,-4.47083,202.24555,0.00248,0.98208,17.41829,8.43288,-15.2548,0.02293,58.96812,0.7367,0.73758,0.08971,0.09019,S,Generated
6,2460292.775,-60,-124.61538,1.294,2460292.733,2460292.826,134.53333,3.90015,217.27703,-4.44816,202.36108,0.00248,0.98208,17.08158,8.34831,-14.91595,0.02206,58.96205,0.70863,0.70946,0.06603,0.06648,S,Generated
7,2460292.749,-60,-115.38462,1.268,2460292.707,2460292.8,133.38333,3.83854,217.05704,-4.42468,202.47992,0.00248,0.98208,16.74511,8.26322,-14.57712,0.0212,58.95578,0.68112,0.6819,0.04252,0.04294,S,Generated
8,2460292.723,-60,-106.15385,1.242,2460292.682,2460292.774,132.21667,3.77789,216.84224,-4.39991,202.60416,0.00248,0.98208,16.4088,8.17781,-14.23808,0.02036,58.94926,0.65414,0.65488,0.01919,0.0196,S,Generated
9,2460292.696,-60,-96.92308,1.216,2460292.656,2460292.747,131.01667,3.71631,216.62747,-4.37511,202.72796,0.00248,0.98208,16.07294,8.09142,-13.89951,0.01954,58.94263,0.62774,0.62844,-0.00399,-0.00361,S,Generated
10,2460292.67,-60,-87.69231,1.19,2460292.63,2460292.721,129.78333,3.655,216.41604,-4.34945,202.85506,0.00248,0.98207,15.73737,8.00444,-13.56098,0.01874,58.9358,0.6019,0.60256,-0.02701,-0.02664,S,Generated
11,2460292.644,-60,-78.46154,1.164,2460292.605,2460292.694,128.55,3.59406,216.20835,-4.32283,202.98589,0.00248,0.98207,15.40211,7.91689,-13.22246,0.01796,58.92877,0.57661,0.57723,-0.04984,-0.04949,S,Generated
12,2460292.618,-60,-69.23077,1.138,2460292.579,2460292.667,127.26667,3.5327,216.00217,-4.29579,203.11793,0.00248,0.98207,15.06728,7.8285,-12.88424,0.01719,58.92158,0.55189,0.55247,-0.0725,-0.07218,S,Generated
13,2460292.592,-60,-60,1.112,2460292.553,2460292.641,125.95,3.47157,215.79937,-4.26787,203.25327,0.00248,0.98207,14.73283,7.73944,-12.5461,0.01644,58.9142,0.52773,0.52827,-0.09499,-0.09468,S,Generated
14,2460292.566,-60,-50.76923,1.086,2460292.528,2460292.614,124.63333,3.41078,215.60032,-4.23897,203.39233,0.00248,0.98207,14.39875,7.64974,-12.20799,0.01571,58.90662,0.50413,0.50464,-0.11729,-0.117,S,Generated
15,2460292.54,-60,-41.53846,1.06,2460292.502,2460292.588,123.25,3.35005,215.40428,-4.20925,203.53426,0.00248,0.98207,14.06513,7.5593,-11.87003,0.01499,58.89886,0.48109,0.48157,-0.13941,-0.13914,S,Generated
16,2460292.514,-60,-32.30769,1.033,2460292.476,2460292.561,121.88333,3.28912,215.21054,-4.17889,203.67823,0.00248,0.98207,13.73203,7.46801,-11.53231,0.01429,58.89093,0.45862,0.45907,-0.16136,-0.1611,N,Generated
17,2460292.944,-60,-23.07692,1.464,2460292.451,2460293.561,1598.66667,36.44715,81.8926,43.14171,57.09949,0.00248,0.9821,20.10209,6.69456,-24.79311,0.03046,47.59194,0.78989,0.79639,-0.05548,-0.05201,S,Generated
18,2460292.462,-60,-13.84615,0.981,2460292.425,2460292.508,119,3.16701,214.83105,-4.11593,203.97355,0.00249,0.98206,13.0675,7.28294,-10.8575,0.01295,58.87456,0.41538,0.41577,-0.20469,-0.20446,N,Generated
19,2460292.436,-60,-4.61538,0.955,2460292.399,2460292.481,117.51667,3.10707,214.64903,-4.08237,204.12904,0.00249,0.98206,12.73597,7.18945,-10.51999,0.0123,58.86605,0.39459,0.39496,-0.22605,-0.22584,N,Generated
20,2460292.867,-60,4.61538,1.386,2460292.374,2460293.483,1596.91667,36.98147,81.06785,43.04942,57.3311,0.00248,0.98209,19.08859,6.06795,-23.73675,0.02749,47.23832,0.70767,0.71352,-0.16253,-0.15935,S,Generated
