Index,Date,Latitude,Longitude,Moon Age,Sunset,Moonset,Lag,Moon Alt,Moon Az,Sun Alt,Sun Az,Moon-Earth Dist,Sun-Moon Dist,ARCL,ARCV,DAZ,Illumination,Parallax,W,W',q,q',Seen
0,2460027.32928,48.0,-8.0,2.105,2460027.28375,2460027.3862,147.53333,12.23431,272.4945,-11.64186,285.05001,0.00251,0.99448,26.93359,23.87617,12.55551,0.05423,57.12085,1.68804,1.69398,2.1116,2.11441,S
1,2460027.32855,48.0,-7.74359,2.104,2460027.28303,2460027.38545,147.48333,12.23032,272.49226,-11.63721,285.04395,0.00251,0.99448,26.92422,23.86754,12.55169,0.0542,57.12231,1.68693,1.69287,2.11021,2.11302,S
2,2460027.32782,48.0,-7.48718,2.103,2460027.28231,2460027.3847,147.43333,12.22634,272.49002,-11.63257,285.0379,0.00251,0.99448,26.91484,23.8589,12.54788,0.05416,57.12377,1.68582,1.69175,2.10882,2.11163,S
3,2460027.3271,48.0,-7.23077,2.103,2460027.28161,2460027.38396,147.38333,12.21969,272.4908,-11.63061,285.03509,0.00251,0.99448,26.9056,23.8503,12.54429,0.05412,57.12579,1.68474,1.69067,2.10746,2.11025,S
4,2460027.32636,48.0,-6.97436,2.102,2460027.28089,2460027.38321,147.33333,12.2157,272.48855,-11.62596,285.02903,0.00251,0.99448,26.89622,23.84166,12.54047,0.05409,57.12724,1.68363,1.68955,2.10607,2.10886,S
5,2460027.32564,48.0,-6.71795,2.101,2460027.28019,2460027.38245,147.26667,12.21024,272.48799,-11.62281,285.02477,0.00251,0.99448,26.88692,23.83305,12.53678,0.05405,57.12901,1.68254,1.68846,2.10469,2.10748,S
6,2460027.3249,48.0,-6.46154,2.1,2460027.27947,2460027.3817,147.21667,12.20625,272.48575,-11.61816,285.01872,0.00251,0.99448,26.87754,23.82441,12.53297,0.05401,57.13047,1.68143,1.68734,2.1033,2.10609,S
7,2460027.32417,48.0,-6.20513,2.1,2460027.27875,2460027.38095,147.16667,12.20226,272.48351,-11.61351,285.01266,0.00251,0.99448,26.86816,23.81577,12.52915,0.05398,57.13193,1.68032,1.68623,2.10192,2.1047,S
8,2460027.32345,48.0,-5.94872,2.099,2460027.27804,2460027.3802,147.1,12.1968,272.48294,-11.61036,285.00841,0.00251,0.99448,26.85885,23.80715,12.52546,0.05394,57.13369,1.67923,1.68513,2.10054,2.10332,S
9,2460027.32271,48.0,-5.69231,2.098,2460027.27733,2460027.37944,147.05,12.1928,272.4807,-11.60571,285.00235,0.00251,0.99448,26.84947,23.79851,12.52165,0.0539,57.13515,1.67813,1.68402,2.09915,2.10193,S
10,2460027.32199,48.0,-5.4359,2.098,2460027.27662,2460027.37869,146.98333,12.18734,272.48013,-11.60256,284.9981,0.00251,0.99448,26.84017,23.7899,12.51796,0.05387,57.13692,1.67704,1.68292,2.09777,2.10055,S
11,2460027.32125,48.0,-5.17949,2.097,2460027.2759,2460027.37794,146.93333,12.18335,272.47789,-11.59791,284.99204,0.00251,0.99448,26.83079,23.78126,12.51415,0.05383,57.13837,1.67593,1.68181,2.09639,2.09916,S
12,2460027.32052,48.0,-4.92308,2.096,2460027.27519,2460027.37719,146.88333,12.17936,272.47565,-11.59326,284.98598,0.00251,0.99448,26.82141,23.77262,12.51033,0.05379,57.13983,1.67482,1.68069,2.095,2.09777,S
13,2460027.31979,48.0,-4.66667,2.095,2460027.27448,2460027.37644,146.81667,12.17389,272.47508,-11.5901,284.98173,0.00251,0.99447,26.81211,23.764,12.50665,0.05375,57.14159,1.67373,1.6796,2.09362,2.09639,S
14,2460027.31906,48.0,-4.41026,2.095,2460027.27376,2460027.37568,146.76667,12.1699,272.47284,-11.58546,284.97567,0.00251,0.99447,26.80273,23.75536,12.50283,0.05372,57.14305,1.67262,1.67849,2.09223,2.09501,S
15,2460027.31833,48.0,-4.15385,2.094,2460027.27306,2460027.37493,146.7,12.16443,272.47227,-11.5823,284.97142,0.00251,0.99447,26.79342,23.74674,12.49915,0.05368,57.14481,1.67154,1.67739,2.09086,2.09363,S
16,2460027.3176,48.0,-3.89744,2.093,2460027.27234,2460027.37418,146.65,12.16044,272.47003,-11.57765,284.96537,0.00251,0.99447,26.78404,23.73809,12.49534,0.05364,57.14626,1.67043,1.67628,2.08947,2.09224,S
17,2460027.31687,48.0,-3.64103,2.092,2460027.27162,2460027.37343,146.6,12.15645,272.46779,-11.573,284.95931,0.00251,0.99447,26.77466,23.72945,12.49152,0.05361,57.14772,1.66932,1.67517,2.08808,2.09085,S
18,2460027.31615,48.0,-3.38462,2.092,2460027.27091,2460027.37269,146.55,12.1498,272.46856,-11.57104,284.9565,0.00251,0.99447,26.76542,23.72085,12.48794,0.05357,57.14973,1.66825,1.67409,2.08672,2.08948,S
19,2460027.31541,48.0,-3.12821,2.091,2460027.2702,2460027.37193,146.5,12.14581,272.46632,-11.5664,284.95045,0.00251,0.99447,26.75603,23.7122,12.48413,0.05353,57.15118,1.66715,1.67298,2.08533,2.08809,S
20,2460027.31469,48.0,-2.87179,2.09,2460027.26949,2460027.37118,146.43333,12.14034,272.46575,-11.56324,284.9462,0.00251,0.99447,26.74673,23.70358,12.48045,0.0535,57.15295,1.66606,1.67188,2.08395,2.08671,S
21,2460027.31395,48.0,-2.61538,2.09,2460027.26877,2460027.37043,146.38333,12.13635,272.4635,-11.55859,284.94014,0.00251,0.99447,26.73735,23.69494,12.47664,0.05346,57.1544,1.66495,1.67077,2.08256,2.08532,S
22,2460027.31322,48.0,-2.35897,2.089,2460027.26806,2460027.36968,146.33333,12.13235,272.46126,-11.55394,284.93409,0.00251,0.99447,26.72797,23.68629,12.47283,0.05342,57.15585,1.66385,1.66966,2.08118,2.08393,S
23,2460027.31249,48.0,-2.10256,2.088,2460027.26735,2460027.36892,146.26667,12.12688,272.46069,-11.55079,284.92983,0.00251,0.99447,26.71866,23.67767,12.46915,0.05339,57.15761,1.66276,1.66857,2.0798,2.08255,S
24,2460027.31176,48.0,-1.84615,2.087,2460027.26663,2460027.36817,146.21667,12.12289,272.45844,-11.54614,284.92378,0.00251,0.99447,26.70928,23.66903,12.46534,0.05335,57.15906,1.66166,1.66746,2.07841,2.08116,S
25,2460027.31103,48.0,-1.58974,2.087,2460027.26593,2460027.36742,146.15,12.11742,272.45788,-11.54298,284.91953,0.00251,0.99447,26.69997,23.6604,12.46165,0.05331,57.16082,1.66057,1.66637,2.07704,2.07978,S
26,2460027.3103,48.0,-1.33333,2.086,2460027.26521,2460027.36667,146.1,12.11343,272.45563,-11.53833,284.91347,0.00251,0.99447,26.69059,23.65176,12.45785,0.05328,57.16227,1.65947,1.66526,2.07565,2.07839,S
27,2460027.30957,48.0,-1.07692,2.085,2460027.26449,2460027.36591,146.05,12.10943,272.45338,-11.53368,284.90742,0.00251,0.99447,26.68121,23.64311,12.45404,0.05324,57.16372,1.65837,1.66415,2.07426,2.077,S
28,2460027.30884,48.0,-0.82051,2.084,2460027.26378,2460027.36516,145.98333,12.10396,272.45281,-11.53052,284.90317,0.00251,0.99447,26.6719,23.63449,12.45036,0.0532,57.16549,1.65728,1.66306,2.07289,2.07562,S
29,2460027.30811,48.0,-0.5641,2.084,2460027.26307,2460027.36441,145.93333,12.09997,272.45057,-11.52587,284.89712,0.00251,0.99447,26.66252,23.62584,12.44655,0.05317,57.16693,1.65618,1.66195,2.0715,2.07423,S
30,2460027.30738,48.0,-0.30769,2.083,2460027.26236,2460027.36366,145.86667,12.0945,272.45,-11.52272,284.89287,0.00251,0.99447,26.65321,23.61721,12.44287,0.05313,57.16869,1.6551,1.66086,2.07012,2.07286,S
