Index,Date,Latitude,Longitude,Moon Age,Sunset,Moonset,Lag,Moon Alt,Moon Az,Sun Alt,Sun Az,Moon-Earth Dist,Sun-Moon Dist,ARCL,ARCV,DAZ,Illumination,Parallax,W,W',q,q',Cloud Level,Seen,Method,Methods,Visibility,Source,Cloud cover,Distance
1396,2460026.29372,34.79676,-5.57849,1.069,2460026.2745,2460026.31773,62.25,6.20428,270.96475,-6.49932,275.46341,0.00247,0.99401,13.47354,12.7036,4.49867,0.01376,58.90736,0.44172,0.44253,0.35253,0.353,0.0,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,1.0,ICOP23,-3,-3.0
1397,2460026.26082,8.49637,4.54805,1.036,2460026.24477,2460026.28089,52.01667,6.31297,273.65519,-6.54883,271.73385,0.00247,0.994,13.00392,12.8618,-1.92134,0.01282,58.9183,0.41167,0.41244,0.35106,0.3515,1.0,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,1.0,ICOP23,7,138079.31896762797
1398,2460026.25949,13.06106,5.23732,1.035,2460026.24306,2460026.28002,53.23333,6.36132,273.10152,-6.59231,272.29857,0.00247,0.994,12.97839,12.95363,-0.80295,0.01277,58.91372,0.41003,0.4108,0.35929,0.35974,0.0,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,1.0,ICOP23,6,82177.82268266086
1399,2460026.11114,23.63334,58.19991,0.887,2460026.09647,2460026.12947,47.51667,5.22894,271.30254,-5.66665,273.23342,0.00247,0.99394,11.06485,10.89559,1.93089,0.00929,59.13467,0.2995,0.29997,0.08892,0.0892,0.0,Seen,Seen_telescope,Seen_telescope;Seen_ccd,0.5,ICOP23,2,10156.295674996343
1400,2460026.1106,23.5882,58.38294,0.886,2460026.09595,2460026.12892,47.48333,5.22829,271.30342,-5.66177,273.22544,0.00247,0.99394,11.05786,10.89006,1.92202,0.00928,59.13509,0.29912,0.29959,0.08814,0.08842,0.5,Not_seen,Not_seen,Not_seen,0.0,ICOP23,2,10168.517013352488
1401,2460026.17743,31.76203,35.21775,0.953,2460026.16087,2460026.19814,53.66667,5.48946,270.84157,-5.89311,274.49851,0.00247,0.99397,11.95374,11.38257,3.65695,0.01084,59.06403,0.34895,0.34953,0.1667,0.16703,1.0,Not_seen,Not_seen,Not_seen,0.0,ICOP23,8,46196.60578768474
1402,2460026.16472,21.58101,39.16536,0.94,2460026.14924,2460026.18409,50.18333,5.6525,271.72298,-6.01378,273.14542,0.00247,0.99396,11.75238,11.66628,1.42244,0.01048,59.0564,0.33729,0.33786,0.18824,0.18857,0.0,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,1.0,ICOP23,-4,-4.0
1403,2460026.13436,26.29665,50.12021,0.91,2460026.11907,2460026.15347,49.53333,5.34201,271.15513,-5.76004,273.62895,0.00247,0.99395,11.37348,11.10205,2.47382,0.00982,59.10804,0.31624,0.31675,0.11944,0.11974,0.0,Seen,Seen_binoculars,Seen_binoculars;Seen_telescope;Seen_ccd,0.75,ICOP23,-4,-4.0
1404,2460026.16107,-6.81608,39.28036,0.937,2460026.14777,2460026.1777,43.1,5.18277,274.79732,-5.59034,270.03721,0.00247,0.99396,11.77504,10.77311,-4.76011,0.01052,59.10484,0.33887,0.33939,0.09985,0.10015,0.5,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,1.0,ICOP23,-4,-4.0
1405,2460026.24663,35.50368,11.06824,1.022,2460026.2283,2460026.26954,59.38333,5.83565,270.76289,-6.19231,275.3461,0.00247,0.99399,12.86858,12.02797,4.58321,0.01256,58.98053,0.4036,0.40431,0.26302,0.26342,0.0,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,1.0,ICOP23,5,34011.37790517912
1406,2460026.24895,36.7188,10.33779,1.025,2460026.23044,2460026.27209,59.98333,5.79538,270.67756,-6.16271,275.54181,0.00247,0.994,12.90622,11.95809,4.86424,0.01263,58.98312,0.40598,0.40668,0.2574,0.25781,0.5,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,1.0,ICOP23,6,15770.492817590599
1407,2460026.11958,25.26535,55.29249,0.895,2460026.10464,2460026.13825,48.4,5.25706,271.18982,-5.69097,273.45418,0.00247,0.99395,11.17904,10.94802,2.26437,0.00949,59.12626,0.30565,0.30613,0.0978,0.09808,0.0,Seen,Seen_ccd,Seen_ccd,0.25,ICOP23,-4,-4.0
1408,2460026.1185,24.99236,55.66067,0.894,2460026.1036,2460026.13712,48.26667,5.25642,271.2093,-5.68788,273.41732,0.00247,0.99395,11.16414,10.94429,2.20801,0.00946,59.12706,0.30484,0.30532,0.09695,0.09723,0.0,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,1.0,ICOP23,-4,-4.0
1409,2460026.12016,24.18106,55.03379,0.896,2460026.10529,2460026.13875,48.18333,5.28634,271.28871,-5.71019,273.32546,0.00247,0.99395,11.18299,10.99653,2.03675,0.00949,59.12307,0.30585,0.30633,0.10276,0.10305,0.0,Seen,Seen_ccd,Seen_ccd,0.25,ICOP23,-4,-4.0
1410,2460026.12206,24.45384,54.3774,0.898,2460026.10713,2460026.14072,48.36667,5.29372,271.27205,-5.71818,273.36449,0.00247,0.99395,11.20833,11.0119,2.09243,0.00954,59.12108,0.30722,0.30771,0.10511,0.1054,0.0,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,1.0,ICOP23,-4,-4.0
1411,2460026.11816,24.22487,55.74522,0.894,2460026.10332,2460026.1367,48.06667,5.26947,271.27723,-5.69886,273.32495,0.00247,0.99395,11.15727,10.96833,2.04772,0.00945,59.12605,0.30446,0.30494,0.09913,0.09941,0.0,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,1.0,ICOP23,-4,-4.0
1412,2460026.11958,25.26535,55.29249,0.895,2460026.10464,2460026.13825,48.4,5.25706,271.18982,-5.69097,273.45418,0.00247,0.99395,11.17904,10.94802,2.26437,0.00949,59.12626,0.30565,0.30613,0.0978,0.09808,0.0,Seen,Seen_binoculars,Seen_binoculars;Seen_telescope;Seen_ccd,0.75,ICOP23,-4,-4.0
1413,2460026.28615,54.37734,-0.88799,1.062,2460026.26406,2460026.31376,71.56667,4.87003,270.1322,-5.43453,278.93057,0.00247,0.99401,13.54196,10.30456,8.79837,0.0139,59.04587,0.44724,0.44789,0.11579,0.11616,1.0,Not_seen,Not_seen,Not_seen,0.0,ICOP23,0,21100.761872640578
1414,2460026.48206,42.70704,-71.16311,1.258,2460026.45763,2460026.51259,79.15,7.09023,270.88936,-7.26381,277.8961,0.00248,0.99409,15.96483,14.35404,7.00674,0.01928,58.66561,0.61647,0.61777,0.61603,0.61675,0.5,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,1.0,ICOP23,-4,-4.0
1415,2460026.50669,37.22966,-80.41368,1.282,2460026.48273,2460026.53664,77.63333,7.59831,271.38628,-7.67635,276.94193,0.00248,0.9941,16.24799,15.27466,5.55565,0.01997,58.58049,0.63746,0.63889,0.71969,0.72048,1.0,Not_seen,Not_seen,Not_seen,0.0,ICOP23,8,40717.579420729526
1416,2460024.25029,35.77743,-5.80323,28.455,2460024.27404,2460024.22061,-76.93333,-8.71685,264.63002,6.09114,265.51787,0.00243,0.99348,14.83442,14.80799,0.88785,0.01667,59.60574,0.54127,0.53985,0.61948,0.61868,0.0,Seen,Seen_ccd,Seen_ccd,0.25,ICOP23,2,47618.5969619393
