,0
0,-1
1,-1
2,-1
3,-1
4,-1
5,-1
6,-1
7,-1
8,-1
9,-1
10,-1
11,-1
12,-1
13,-1
14,-1
15,-1
16,-1
17,-1
18,-1
19,-1
20,-1
21,-1
22,-1
23,-1
24,-1
25,-1
26,-1
27,-1
28,-1
29,-1
30,-1
31,-1
32,-1
33,-1
34,-1
35,-1
36,-1
37,-1
38,-1
39,-1
40,-1
41,-1
42,-1
43,-1
44,-1
45,-1
46,-1
47,-1
48,-1
49,-1
50,-1
51,-1
52,-1
53,-1
54,-1
55,-1
56,-1
57,-1
58,-1
59,-1
60,-1
61,-1
62,-1
63,-1
64,-1
65,-1
66,-1
67,-1
68,-1
69,-1
70,-1
71,-1
72,-1
73,-1
74,-1
75,-1
76,-1
77,-1
78,-1
79,-1
80,-1
81,-1
82,-1
83,-1
84,-1
85,-1
86,-1
87,-1
88,-1
89,-1
90,-1
91,-1
92,-1
93,-1
94,-1
95,-1
96,-1
97,-1
98,-1
99,-1
100,-1
101,-1
102,-1
103,-1
104,-1
105,-1
106,-1
107,-1
108,-1
109,-1
110,-1
111,-1
112,-1
113,-1
114,-1
115,-1
116,-1
117,-1
118,-1
119,-1
120,-1
121,-1
122,-1
123,-1
124,-1
125,-1
126,-1
127,-1
128,-1
129,-1
130,-1
131,-1
132,-1
133,-1
134,-1
135,-1
136,-1
137,-1
138,-1
139,-1
140,-1
141,-1
142,-1
143,-1
144,-1
145,-1
146,-1
147,-1
148,-1
149,-1
150,-1
151,-1
152,-1
153,-1
154,-1
155,-1
156,-1
157,-1
158,-1
159,-1
160,-1
161,-1
162,-1
163,-1
164,-1
165,-1
166,-1
167,-1
168,-1
169,-1
170,-1
171,-1
172,-1
173,-1
174,-1
175,-1
176,-1
177,-1
178,-1
179,-1
180,-1
181,-1
182,-1
183,-1
184,-1
185,-1
186,-1
187,-1
188,-1
189,-1
190,-1
191,-1
192,-1
193,-1
194,-1
195,-1
196,-1
197,-1
198,-1
199,-1
200,-1
201,-1
202,-1
203,-1
204,-1
205,-1
206,-1
207,-1
208,-1
209,-1
210,-1
211,-1
212,-1
213,-1
214,-1
215,-1
216,-1
217,-1
218,-1
219,-1
220,-1
221,-1
222,-1
223,-1
224,-1
225,-1
226,-1
227,-1
228,-1
229,-1
230,-1
231,-1
232,-1
233,-1
234,-1
235,-1
236,-1
237,-1
238,-1
239,-1
240,-1
241,-1
242,-1
243,-1
244,-1
245,-1
246,-1
247,-1
248,-1
249,-1
250,-1
251,-1
252,-1
253,-1
254,-1
255,-1
256,-1
257,-1
258,-1
259,-1
260,-1
261,-1
262,-1
263,-1
264,-1
265,-1
266,-1
267,-1
268,-1
269,-1
270,-1
271,-1
272,-1
273,-1
274,-1
275,-1
276,-1
277,-1
278,-1
279,-1
280,-1
281,-1
282,-1
283,-1
284,-1
285,-1
286,-1
287,-1
288,-1
289,-1
290,-1
291,-1
292,-1
293,-1
294,-1
295,-1
296,-1
297,-1
298,-1
299,-1
300,-1
301,-1
302,-1
303,-1
304,-1
305,-1
306,-1
307,-1
308,-1
309,-1
310,-1
311,-1
312,-1
313,-1
314,-1
315,-1
316,-1
317,-1
318,-1
319,-1
320,-1
321,-1
322,-1
323,-1
324,-1
325,-1
326,-1
327,-1
328,-1
329,-1
330,-1
331,-1
332,6
333,3
334,3
335,3
336,6
337,1
338,6
339,6
340,6
341,6
342,3
343,3
344,1
345,7
346,7
347,2
348,2
349,5
350,5
351,8
352,8
353,8
354,8
355,8
356,8
357,8
358,8
359,3
360,1
361,7
362,7
363,7
364,7
365,7
366,8
367,7
368,7
369,7
370,7
371,7
372,7
373,7
374,8
375,8
376,7
377,7
378,7
379,7
380,7
381,7
382,7
383,7
384,8
385,7
386,7
387,7
388,8
389,7
390,8
391,2
392,6
393,7
394,7
395,7
396,8
397,7
398,6
399,2
400,6
401,2
402,7
403,8
404,6
405,7
406,7
407,7
408,6
409,7
410,7
411,2
412,1
413,1
414,1
415,1
416,1
417,0
418,1
419,1
420,1
421,1
422,4
423,1
424,1
425,1
426,1
427,1
428,1
429,1
430,1
431,1
432,1
433,1
434,2
435,1
436,7
437,7
438,3
439,3
440,7
441,5
442,6
443,7
444,6
445,3
446,7
447,6
448,6
449,6
450,8
451,8
452,2
453,2
454,8
455,2
456,7
457,6
458,8
459,7
460,8
461,8
462,7
463,8
464,8
465,8
466,8
467,8
468,8
469,8
470,8
471,7
472,5
473,8
474,8
475,4
476,8
477,1
478,8
479,7
480,7
481,1
482,8
483,8
484,7
485,3
486,0
487,6
488,6
489,8
490,4
491,7
492,6
493,6
494,7
495,8
496,8
497,8
498,8
499,8
500,7
501,7
502,8
503,8
504,8
505,7
506,7
507,7
508,7
509,8
510,8
511,8
512,8
513,8
514,8
515,8
516,4
517,8
518,8
519,8
520,8
521,8
522,8
523,8
524,8
525,8
526,8
527,8
528,8
529,8
530,8
531,8
532,8
533,8
534,8
535,8
536,8
537,8
538,8
539,8
540,8
541,8
542,8
543,8
544,8
545,7
546,8
547,2
548,8
549,7
550,8
551,8
552,8
553,8
554,8
555,8
556,8
557,8
558,7
559,2
560,8
561,8
562,8
563,8
564,8
565,0
566,8
567,0
568,3
569,8
570,4
571,0
572,8
573,8
574,8
575,4
576,2
577,6
578,5
579,8
580,0
581,0
582,8
583,3
584,5
585,0
586,8
587,8
588,8
589,0
590,0
591,0
592,8
593,8
594,8
595,0
596,8
597,1
598,8
599,8
600,8
601,5
602,6
603,2
604,3
605,3
606,3
607,3
608,0
609,0
610,0
611,0
612,1
613,8
614,0
615,8
616,0
617,8
618,0
619,8
620,8
621,8
622,1
623,0
624,1
625,5
626,8
627,8
628,8
629,8
630,8
631,8
632,8
633,8
634,8
635,3
636,0
637,8
638,8
639,8
640,2
641,0
642,0
643,8
644,2
645,8
646,8
647,8
648,8
649,8
650,2
